#separator:tab
#html:true
#tags column:52
10:20 AM + Que horas são?	10:20 AM	Que horas são?	São dez e vinte																																																Curso::1A2 Portugues::Frases::Calendario::Horas::Que_horas_sao?
mexilhão, mexilhões	"<img src=""_mejillones.JPG"">"	mexilhão, mexilhões	o mexilhão, os mexilhões	/u mɨʃiˈʎɐ̃w̃ | uʒ mɨʃiˈʎõj̃ʃ/	/u meʃiˈʎɐ̃w̃ | uʒ meʃiˈʎõj̃s/	sm, smp	Marisco de concha preta, comum em pratos portugueses.		mussel, mussels	/ˈməsəl | ˈməsəlz/	/ˈmʌsᵊl | ˈmʌsᵊlz/	n	A type of shellfish often used as food.		mejillón, mejillones						moule		/mul/				Muschel		/ˈmʊʃl̩/				musclo						cozze												Portugues::Vocabulario::Alimentos Portugues::Vocabulario::Avanzado Vocabulary::Food
músculos		músculos	os músculos	/uʒ ˈmuʃkuluʃ/	/uʒ ˈmuskulus/	smp	Tecidos que permitem o movimento do corpo ao contrair-se e relaxar-se.		muscles	/ˈməsəlz/	/ˈmʌsᵊlz/	np	Tissues that produce movement in the body.		músculos						muscles						Muskeln						muscles						muscoli												Portugues::Vocabulario::Saude Vocabulary::Health
articulações		articulações	as articulações	/ɐz ɐɾtikulɐˈsõj̃ʃ/	/az aʁtʃikulaˈsõj̃s/	sfp	Conexões entre os ossos que permitem o movimento.		joints	/ˈdʒɔɪnts/	/ˈdʒɔɪnts/	np	Points where two bones meet, enabling movement.		articulaciones						articulations						Gelenke						articulacions						articolazioni												Portugues::Vocabulario::Saude Vocabulary::Health
espirrar	"<img src=""_espirrar.gif"">"	espirrar	espirrar	/ʃpiˈʁaɾ/	/ispiˈʁaʁ/	v	Ação de expelir ar pelos pulmões de forma súbita e ruidosa, geralmente devido a irritação nasal.		to sneeze	/tə ˈsniz/	/tə ˈsniːz/	v	To expel air forcibly through the nose and mouth due to irritation.		estornudar						éternuer						niesen						esternudar						starnutire												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
assoar-se	"<img src=""_precisar_lenços_tissues.JPG"">"	assoar-se	assoar-se	/ɐsuˈaɾsɨ/	/asoˈaʁsi/	v	Limpar as narinas expulsando ar pelo nariz, geralmente com a ajuda de um lenço.		to blow one's nose	/tə ˈbloʊ ˈwənz ˈnoʊz/	/tə ˈbləʊ ˈwʌnz ˈnəʊz/	exp	To clear the nostrils by forcing air out into a tissue.		sonarse						se moucher						sich schnäuzen						sonar-se						soffiarsi il naso												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
tem constipado	"<img src=""_resfriados.JPG"">"	tem constipado	tem constipado	/ˈtɐ̃j̃ kõʃtiˈpadu/	/ˈtẽj̃ kõstʃiˈpadu/	exp	Estar resfriado ou com sintomas de gripe.		has a cold	/həz ə ˈkʰoʊld/	/həz ə ˈkʰəʊld/	v	To suffer from a common viral infection of the respiratory tract.		tiene resfriado						a un rhume						hat eine Erkältung						té un refredat						ha il raffreddore												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
precisas lenços	"<img src=""_precisar_lenços.JPG"">"	precisas lenços	precisas lenços	/pɾɨˈsizɐʒ ˈlẽsuʃ/	/pɾeˈsizas ˈlẽsus/	exp	Frase indicando a necessidade de lenços para limpar ou assoar o nariz.		you need tissues	/jə ˈnid ˈtʰɪʃuz/	/jə ˈniːd ˈtʰɪʃuːz/	exp	A phrase indicating the necessity of paper tissues, often for sneezing or wiping.		necesitas pañuelos						tu as besoin de mouchoirs						du brauchst Taschentücher						necessites mocadors						hai bisogno di fazzoletti												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
entorse no tornozelo	"<img src=""_torcedura_esguince_tornozelo_tobillo.JPG"">"	entorse no tornozelo	a entorse no tornozelo	/ɐ ẽˈtɔɾsɨ nu tuɾnuˈzɛlu/	/a ẽˈtɔʁsi nu toʁnoˈzɛlu/	sm	Lesão na articulação do tornozelo.		ankle sprain	/ˈæŋkəl ˈspɹeɪn/	/ˈæŋkᵊl ˈspreɪn/	n	An injury where the ligaments in the ankle are stretched or torn.		esguince en el tobillo						entorse de la cheville						Knöchelverstauchung						esquinç de turmell						distorsione alla caviglia												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
torceu um pé	"<img src=""_torceu_um_pe.JPG"">"	torceu um pé	torceu um pé	/tuɾˈsew ˈũ ˈpɛ/	/toʁˈsew ˈũ ˈpɛ/	exp	Expressão para indicar que alguém sofreu uma torção no pé.		twisted a foot	/ˈtwɪstəd ə ˈfʊt/	/ˈtwɪstɪd ə ˈfʊt/	exp	To accidentally sprain or injure the foot by awkward movement.		se torció un pie						s'est tordu un pied						hat sich den Fuß verdreht						s'ha torçat un peu						ha storto un piede												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
muito inchado	"<img src=""_inchado.JPG"">"	muito inchado	muito inchado	/ˈmũjtu ĩˈʃadu/	/ˈmũjtu ĩˈʃadu/	adj m	Que está com aumento de volume devido a inflamação ou lesão.		very swollen	/ˈvɛri ˈswoʊlən/	/ˈveri ˈswəʊlən/	adj	Significantly enlarged or puffed due to inflammation or fluid.		muy hinchado						très enflé						sehr geschwollen						molt inflat						molto gonfio												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
queimarse com água a ferver	"<img src=""_queimarse_agua_ferver.JPG"">"	queimarse com água a ferver	queimarse com água a ferver	/kɐjˈmaɾsɨ ˈkõ ˈaɡwɐ ɐ fɨɾˈveɾ/	/kejˈmaʁsi ˈkõ ˈaɡwɐ a feʁˈveʁ/	exp	Sofrer uma queimadura causada por água quente.		burn with boiling water	/ˈbɜ˞n ˈwɪθ ˈbɔɪlɪŋ ˈwɔtə˞/	/ˈbɜːn wɪð ˈbɔɪlɪŋ ˈwɔːtə/	v	To sustain an injury from contact with boiling water.		quemarse con agua hirviendo						se brûler avec de l'eau bouillante						mit kochendem Wasser verbrennen						cremar-se amb aigua bullint						ustionarsi con acqua bollente												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
queimadura	"<img src=""_queimadura.JPG"">"	queimadura	a queimadura	/ɐ kɐjmɐˈduɾɐ/	/a kejmaˈduɾɐ/	sf	Lesão na pele causada por calor, eletricidade ou substâncias químicas.		burn	/ˈbɜ˞n/	/ˈbɜːn/	n	An injury caused by heat, chemicals, or radiation.		quemadura						brûlure						Verbrennung						cremada						ustione												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
vou desinfetar	"<img src=""_desinfetar_ferida.JPG"">"	vou desinfetar	vou desinfetar	/ˈvo dɨzĩfɨˈtaɾ/	/ˈvo dezĩfeˈtaʁ/	exp	Expressão indicando a intenção de limpar uma ferida.		I will disinfect	/aɪ ˈwɪl ˌdɪsɪnˈfɛkt/	/aɪ ˈwɪl ˌdɪsɪnˈfekt/	v	To clean an area or object to destroy germs or bacteria.		voy a desinfectar						je vais désinfecter						ich werde desinfizieren						desinfectaré						disinfetterò												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
colocar um penso	"<img src=""_poner_um_penso.JPG"">"	colocar um penso	colocar um penso	/kuluˈkaɾ ˈũ ˈpẽsu/	/koloˈkaʁ ˈũ ˈpẽsu/	exp	Ação de cobrir uma ferida com um curativo.		apply a bandage	/əˈplaɪ ə ˈbændɪdʒ/	/əˈplaɪ ə ˈbændɪdʒ/	v	To cover a wound or injury with a protective strip of material.		poner un vendaje						mettre un bandage						einen Verband anlegen						posar un embenat						mettere una benda												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
caiu e partiu o braço	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	caiu e partiu o braço	caiu e partiu o braço	/ˈkajw i pɐɾˈtiw u ˈbɾasu/	/ˈkajw i paʁˈtʃiw u ˈbɾasu/	exp	Expressão que descreve um acidente que resultou em fratura no braço.		fell and broke his arm	/ˈfɛl ənd ˈbɹoʊk ˈhɪz ˈɑrm/	/ˈfel ənd ˈbrəʊk hɪz ˈɑːm/	v	An expression describing an accident resulting in a fractured arm.		cayó y se rompió el brazo						il est tombé et s'est cassé le bras						er ist gefallen und hat sich den Arm gebrochen						va caure i s'ha trencat el braç						è caduto e si è rotto il braccio												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
anda com yeso	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	anda com yeso	anda com yeso	/ˈɐ̃dɐ ˈkõ ˈɛzu/	/ˈɐ̃dɐ ˈkõ ˈɛzu/	exp	Expressão indicando que alguém está usando gesso em um membro.		he is wearing a cast	//		exp	Someone is wearing a rigid support for healing a broken bone.		anda con yeso						porte un plâtre						er trägt einen Gips						camina amb guix, porta un guix						cammina con il gesso /  porta un gesso												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
cai e magoei o joelho	"<img src=""_lastimar_rodilla_hurt_knee.JPG"">"	cai e magoei o joelho	cai e magoei o joelho	/ˈkaj i mɐɡuˈɐj u ʒuˈɐʎu/	/ˈkaj i maɡoˈej u ʒoˈeʎu/	exp	Expressão que indica lesão no joelho após uma queda.		I fell and hurt the knee	/aɪ ˈfɛl ənd ˈhɜ˞t ðə ˈni/	/aɪ ˈfel ənd ˈhɜːt ðə ˈniː/	v	An expression describing an accident resulting in a knee injury.		caí y me lastimé la rodilla						tomber et se blesser au genou						fallen und sich das Knie verletzen						caure i ferir-se el genoll						cadere e ferire il ginocchio												Curso::1A2 Portugues::Frases Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
magoar-se	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	magoar-se	magoar-se	/mɐɡuˈaɾsɨ/	/maɡoˈaʁsi/	v	Ficar ferido ou machucar-se, física ou emocionalmente.		to hurt oneself	/tə ˈhɜ˞t ˌwənˈsɛlf/	/tə ˈhɜːt ˌwʌnˈself/	exp	To injure one’s own body accidentally or intentionally.		"lastimarse (con ""m"")"						se blesser						sich verletzen						ferir-se						ferirsi												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
está a deitar sangue	"<img src=""_esta_deitar_sangue_sangrando_bleeding.JPG"">"	está a deitar sangue	está a deitar sangue	/ˈʃta ɐ dɐjˈtaɾ ˈsɐ̃ɡɨ/	/isˈta a dejˈtaʁ ˈsɐ̃ɡi/	exp	Expressão indicando que uma ferida está sangrando.		is bleeding	/ˈɪz ˈblidɪŋ/	/ˈɪz ˈbliːdɪŋ/	adj	To lose blood from a wound or injury.		está sangrando						il saigne						blutet						està sagnant						sta sanguinando												Curso::1A2 Portugues::Frases Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
tosse às vezes	"<img src=""_tosser.gif"">"	tosse às vezes	tosse às vezes	/ˈtɔsɨ ˈaʒ ˈvɛzɨʃ/	/ˈtɔsi ˈas ˈvɛzes/	exp	Indica que a pessoa apresenta tosse ocasionalmente.		coughs sometimes	/ˈkʰɔfs ˈsəmˌtaɪmz/	/ˈkʰɒfs ˈsʌmtaɪmz/	v	To expel air from the lungs suddenly, producing a sound.		tose a veces						tousse parfois						hustet manchmal						tossa a vegades						tosse a volte												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Sintomas Vocabulary::Health
tem dor de garganta	"<img src=""_dor_garganta.JPG"">"	tem dor de garganta	tem dor de garganta	/ˈtɐ̃j̃ ˈdoɾ dɨ ɡɐɾˈɡɐ̃tɐ/	/ˈtẽj̃ ˈdoʁ dʒi ɡaʁˈɡɐ̃tɐ/	exp	Expressão indicando desconforto ou dor na garganta.		has a sore throat	/həz ə ˈsɔr ˈθɹoʊt/	/həz ə ˈsɔː ˈθrəʊt/	v	To experience pain or discomfort in the throat.		tiene dolor de garganta						a mal à la gorge						halsweh						te mal de coll						ha mal di gola												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
protetor solar	"<img src=""_protetor_solar.JPG"">"	protetor solar	o protetor solar	/pɐɾɐ ɐpɐˈɲaɾ ˈsɔɫ pɾɨˈsizɐ dɨ pɾutɨˈtoɾ suˈlaɾ/	/paɾɐ apɐˈɲaʁ ˈsɔw pɾeˈsizɐ dʒi pɾoteˈtoʁ soˈlaʁ/	exp	"Frase que alerta sobre a necessidade de usar proteção solar ao se expor ao sol. ""<i>Para apanhar sol . . . </i>"""		sunscreen	/tə ˈsənˌbeɪð ˈnidz ˈsənˌskɹin/	/tə ˈsʌnbeɪð ˈniːdz ˈsʌnskriːn/	exp	To lie in the sun to tan while requiring protective cream to avoid burns.		protector solar						crème solaire						um sich zu sonnen, braucht Sonnenschutz						fer-se necessitar protecció solar						per prendere il sole serve la crema solare												Curso::1A2 Portugues::Frases Portugues::Vocabulario::Actividades::Praia Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Beach Vocabulary::Health
contratura	"<img src=""_contratura_contractura.JPG"">"	contratura	a contratura	/ɐ kõtɾɐˈtuɾɐ/	/a kõtɾaˈtuɾɐ/	sf	Enrijecimento ou espasmo involuntário de um músculo.		contracture	/kənˈtɹæktʃə˞/	/kənˈtræktʃə/	n	The permanent tightening of muscles, tendons, or skin that restricts movement.		contractura						contracture						Kontraktur						contractura						contrattura												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
ter / dar um jeito	"<img src=""_dar_um_jeito.JPG"">"	ter / dar um jeito	ter / dar um jeito	/ˈteɾ | ˈdaɾ ˈũ ˈʒɐjtu/	/ˈteʁ | ˈdaʁ ˈũ ˈʒejtu/	exp	Expressão que significa encontrar uma solução ou resolver algo.		contracture	/kənˈtɹæktʃə˞/	/kənˈtræktʃə/	n	The permanent tightening of muscles, tendons, or skin.		contractura						contracture						Kontraktur						contractura						contrattura												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
ampolas	"<img src=""_ampolas_ampolletas.JPG"">"	ampolas	as ampolas	/ɐz ɐ̃ˈpɔlɐʃ/	/az ɐ̃ˈpɔlas/	sfp	Recipientes pequenos usados para armazenar líquidos medicinais.	Tubo&nbsp;pequeno,&nbsp;fechado,&nbsp;que&nbsp;contém&nbsp;líquido&nbsp;no&nbsp;seu&nbsp;interior.	blisters	/ˈblɪstə˞z/	/ˈblɪstəz/	np	Small bubbles on the skin filled with fluid, often caused by friction or burns.		ampollas						ampoules						Blasen						ampolles						vesciche												Curso::1A2 Portugues::Falso_Amigo Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Medicinas Vocabulary::Health
feridas	"<img src=""_feridas.JPG"">"	feridas	as feridas	/ɐʃ fɨˈɾidɐʃ/	/aʃ feˈɾidas/	sfp	Lesões na pele ou em tecidos mais profundos causadas por cortes, batidas ou doenças.		wounds	/ˈwundz/	/ˈwuːndz/	np	Physical injuries, especially cuts or abrasions.		heridas						blessures						Wunden						ferides						ferite												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
dor de pés	"<img src=""_dor_de_pes_dolor_de_pies.JPG"">"	dor de pés	a dor de pés	/ɐ ˈdoɾ dɨ ˈpɛʃ/	/a ˈdoʁ dʒi ˈpɛs/	sf	Desconforto ou dor nos pés.		foot pain	/ˈfʊt ˈpʰeɪn/	/ˈfʊt ˈpʰeɪn/	n	Discomfort or ache in the foot.		dolor de pies						douleur aux pieds						Fußschmerzen						dolor als peus						dolore ai piedi												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
fiz um entorse	"<img src=""_torceu_um_pe.JPG"">"	fiz um entorse	fiz um entorse	/ˈfiʃ ˈũ ẽˈtɔɾsɨ/	/ˈfiʃ ˈũ ẽˈtɔʁsi/	exp	Indica que sofreu uma torção em alguma articulação.		I sprained	/aɪ ˈspɹeɪnd/	/aɪ ˈspreɪnd/	v	To twist or injure a joint, causing pain and swelling.		me hice un esguince, me torcí						je me suis foulé						ich habe mich verstaucht						m'he fet un esquinç						mi sono slogato												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
dor de estômago	"<img src=""_stomach_ache.jpg"">"	dor de estômago	a dor de estômago	/ɐ ˈdoɾ dɨ ˈʃtomɐɡu/	/a ˈdoʁ dʒi isˈtomaɡu/	sf	Desconforto ou dor na região do estômago.		stomach pain	/ˈstəmək ˈpʰeɪn/	/ˈstʌmək ˈpʰeɪn/	n	Discomfort or ache in the abdominal area.		dolor de estómago						douleur d'estomac						Bauchschmerzen						dolor d'estómac						dolore di stomaco												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
diarrea	"<img src=""_diarrea.jpg"">"	diarrea	a diarrea	/ɐ diɐˈʁɛɐ/	/a dʒiaˈʁɛɐ/	sf	Eliminação frequente de fezes líquidas.		diarrhea	/ˌdaɪə˞ˈɹiə/	/ˌdaɪəˈrɪə/	n	A condition of frequent, loose, or watery bowel movements.		diarrea						diarrhée						Durchfall						diarrea						diarrea												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
xarope para tosse	"<img src=""_xarope_tosse.JPG"">"	xarope para tosse	o xarope para tosse	/u ʃɐˈɾɔpɨ pɐɾɐ ˈtɔsɨ/	/u ʃaˈɾɔpi paɾɐ ˈtɔsi/	sm	Líquido medicinal usado para aliviar a tosse.		cough syrup	/ˈkʰɔf ˈsɪrəp/	/ˈkʰɒf ˈsɪrəp/	n	A liquid medicine taken to relieve coughing.		jarabe para la tos						sirop pour la toux						Hustensaft						almívar per a la tos						sciroppo per la tosse												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Medicinas Vocabulary::Health
ter febre	"<img src=""_ter_febre.JPG"">"	ter febre	ter febre	/ˈteɾ ˈfɛbɾɨ/	/ˈteʁ ˈfɛbɾi/	exp	Estado de ter temperatura corporal elevada acima do normal.		to have a fever	/tə həv ə ˈfivə˞/	/tə həv ə ˈfiːvə/	exp	To experience an elevated body temperature due to illness.		tener fiebre						avoir de la fièvre						Fieber haben						tenir febre						avere la febbre												Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Portugues::Vocabulario::Saude::Sintomas Vocabulary::Health
gripe	"<img src=""_resfriados.JPG"">"	gripe	a gripe	/ɐ ˈɡɾipɨ/	/a ˈɡɾipi/	sf	Doença infecciosa causada por vírus, com sintomas como febre e dor de garganta.		flu	/ˈflu/	/ˈfluː/	n	A viral infection causing fever, aches, and respiratory symptoms.		gripe						grippe						Grippe						grip						influenza												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
ir ao médico	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	ir ao médico	ir ao médico	/ˈiɾ ɐu ˈmɛdiku/	/ˈiʁ au ˈmɛdʒiku/	exp	Consultar um profissional de saúde.		go to the doctor	/ˈɡoʊ tə ðə ˈdɑktə˞/	/ˈɡəʊ tə ðə ˈdɒktə/	adj	To visit a medical professional for diagnosis or treatment.		ir al médico						aller chez le médecin						zum Arzt gehen						anar al metge						andare dal medico												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
fato de treino	"<img src=""_fato_de_treino.JPG"">"	fato de treino	o fato de treino	/u ˈfatu dɨ ˈtɾɐjnu/	/u ˈfatu dʒi ˈtɾejnu/	sm	Vestuário esportivo composto por calças e blusa.		tracksuit	/ˈtɹækˌsut/	/ˈtræksuːt/	n	A matching set of jacket and trousers, typically worn for exercise.		chándal						ensemble de sport / survêtement						Trainingsanzug						xandall						tuta												Curso::1A2 Portugues::Vocabulario::Roupa::Fatos Vocabulary::Clothing
farmácia	"<img src=""_farmacia.JPG"">"	farmácia	a farmácia	/ɐ fɐɾˈmasiɐ/	/a faʁˈmasiɐ/	sf	Local onde se vendem medicamentos e produtos relacionados à saúde.		pharmacy	/ˈfɑrməsi/	/ˈfɑːməsi/	n	A store where medicinal drugs are dispensed.		farmacia	/faɾˈmaθja/	/faɾˈmasja/				pharmacie		/faʁmasi/				Apotheke		/apoˈteːkə/				farmàcia						farmacia	/farmatʃa/											Curso::1A2 Portugues::Vocabulario::Cidade::Locais Portugues::Vocabulario::Saude Vocabulary::City Vocabulary::Health Vocabulary::Work_n_Career::Workplace
hospital	"<img src=""_hospital.JPG"">"	hospital	o hospital	/u oʃpiˈtaɫ/	/u ospiˈtaw/	sm	Estabelecimento onde se prestam cuidados médicos.		hospital	/ˈhɑspɪtl̩/	/ˈhɒspɪtᵊl/	n	A facility for medical care and treatment of patients.		hospital	/ospiˈtal/	/ospiˈtal/				hôpital		/ɔpital/				Krankenhaus		/ˈkraŋkn̩haʊ̯s/				hospital						ospedale	/ospeˈdale/											Curso::1A2 Portugues::Vocabulario::Cidade::Locais Portugues::Vocabulario::Saude Vocabulary::City Vocabulary::Health Vocabulary::Work_n_Career::Workplace
oculista	"<img src=""_oculista.JPG"">"	oculista	o/a oculista	/ˈɔɐ okuˈliʃtɐ/	/ˈɔɐ okuˈlistɐ/	sm/f	Especialista ou comerciante que lida com lentes e óculos.		optician	/ɑpˈtʰɪʃən/	/ɒpˈtʰɪʃᵊn/	n	A specialist who designs and fits eyeglasses.		óptico	/ˈoptiko/	/ˈoptiko/				opticien		/ɔptisjɛ̃/				Optiker		/ˈɔptɪkɐ/				optica						ottico	/ˈɔttiko/											Curso::1A2 Portugues::Vocabulario::Cidade::Locais Portugues::Vocabulario::Saude Vocabulary::City Vocabulary::Health Vocabulary::Work_n_Career::Workplace
destruir + presente	Destruir	presente	Destruo	Destróis	Destrói	Destruímos	Destroem	/dɨʃˈtɾuu/	/dɨʃˈtɾɔjʃ/	/dɨʃˈtɾɔj/	/dɨʃtɾuˈimuʃ/	/dɨʃˈtɾoɐ̃j/																																							Portugues::Conjugacao Curso::1A2 Curso::2A2 Portugues::Verbos::-IR Portugues::Verbos::Irregulares Portugues::Verbos::Presente Portugues::Verbos::Presente::Irregulares Portugues::Verbos::Indicativo
Crer + presente	Crer (Creer)	presente	Creio	Crês	Crê	Cremos	Creem	/ˈkɾɐju/	/ˈkɾeʃ/	/ˈkɾe/	/ˈkɾemuʃ/	/ˈkɾeɐ̃j/																																							Portugues::Conjugacao Curso::2A2 Portugues::Verbos::Imperativo(Pres)::-ER Portugues::Verbos::Presente Portugues::Verbos::Presente::-ER Portugues::Verbos::Indicativo
vir + presente	Vir (Venir)	presente	Venho	Vens	Vem	Vimos	Vêm	/ˈvɐɲu/	/vɐ̃jʃ/	/vɐ̃j/	/ˈvimuʃ/	/ˈvɐ̃jɐ̃j/																																							Portugues::Conjugacao Curso::2A2 Portugues::Verbos::-IR Portugues::Verbos::Irregulares Portugues::Verbos::Presente Portugues::Verbos::Presente::-IR Portugues::Verbos::Presente::Irregulares
