doméstico, doméstica (não empregado)	<img src="_housewife_feral.JPG">	doméstico, doméstica	o/a doméstico, a doméstica	/ˈɔɐ duˈmɛʃtiku | ɐ duˈmɛʃtikɐ/	/ˈɔɐ doˈmɛstʃiku | a doˈmɛstʃikɐ/	s m/f	No Portugal, pessoa que realiza tarefas domésticas, como limpeza, cozinha ou cuidados na casa.		househusband, housewife						amo,a de casa						mari au foyer, femme au foyer (PT)						Hausmann, Hausfrau (PT)						marit de casa, mestressa de casa (PT)						casalingo, casalinga (PT)												Lugares::Portugal Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality
doméstico, doméstica (empregado)		doméstico, doméstica	o/a doméstico, a doméstica	/ˈɔɐ duˈmɛʃtiku | ɐ duˈmɛʃtikɐ/	/ˈɔɐ doˈmɛstʃiku | a doˈmɛstʃikɐ/	s m/f	Pessoa que trabalha em casas particulares ou empresas por um ou mais dias na semana, sem vínculo empregatício fixo.		domestic worker						empleado,a del hogar						employé de maison (PT)						Hausangestellter (PT)						treballadora domèstica (PT)						lavoratore domestico (PT)												Lugares::Portugal Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality
feirante		feirante	o/a feirante	/ˈɔɐ fɐjˈɾɐ̃tɨ/	/ˈɔɐ fejˈɾɐ̃tʃi/	s m/f	A pessoa que vende em feiras.		market vendor						vendedor ambulante						marchand ambulant						Markthändler						venedor ambulant						venditore ambulante												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
guarda-costas		guarda-costas	o/a guarda-costas	/ˈɔɐ ɡwɐɾdɐˈkɔʃtɐʃ/	/ˈɔɐ ɡwaʁdaˈkɔstas/	s m/f	A pessoa que acompanha outra para protegê-la.		bodyguard						guardaespaldas						garde du corps						Leibwächter						guardaespatlles						guardia del corpo												Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
contabilista	<img src="_accountants.jpg">	contabilista	o/a contabilista	/ˈɔɐ kõtɐbiˈliʃtɐ/	/ˈɔɐ kõtabiˈlistɐ/	s m/f	Profissional que trata da contabilidade e dos registros financeiros de uma empresa ou organização.		accountant						contable, contador (México)						comptable						Buchhalter						comptable						contabile												Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality
comerciante		comerciante	o/a comerciante	/ˈɔɐ kumɨɾsiˈɐ̃tɨ/	/ˈɔɐ komeʁsiˈɐ̃tʃi/	s m/f	A pessoa que trabalha no comércio, comprando e vendendo mercadorias.		trader	/ˈtreɪdə˞/	/ˈtreɪdə/				comerciante						commerçant						Händler						comerciant						commerciante												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
lojista		lojista	o/a lojista	/ˈɔɐ luˈʒiʃtɐ/	/ˈɔɐ loˈʒistɐ/	s m/f	Proprietário ou gerente de uma loja, responsável pelas vendas e administração.		grocer						tendero						épicier						Lebensmittelhändler						botiguer						droghiere												Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality
maquinista		maquinista	o/a maquinista	/ˈɔɐ mɐkiˈniʃtɐ/	/ˈɔɐ makiˈnistɐ/	s m/f	Profissional que opera uma máquina, geralmente em transportes.		machinist						conductor						conducteur						Treiber						conductor						autista												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
manequim da alta costura		manequim da alta costura	o/a manequim da alta costura	/ˈɔɐ mɐnɨˈkĩ dɐ ˈaɫtɐ kuˈʃtuɾɐ/	/ˈɔɐ mɐneˈkĩ dɐ ˈawtɐ kosˈtuɾɐ/	s m/f	Profissional que desfila e apresenta roupas de alta costura.		fashion model	/ˈfæʃən ˈmɑːdl̩/	/ˈfæʃᵊn ˈmɒdᵊl/				modelo de alta costura						mannequin de haute couture						Modell						maniquí d&amp;amp;#x27;alta costura						modello di alta moda												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
manequim		manequim	o/a manequim	/ˈɔɐ mɐnɨˈkĩ/	/ˈɔɐ mɐneˈkĩ/	s m/f	A pessoa que exibe nas passarelas os modelos criados por um estilista é um modelo ou ...		mannequin						modelo						mannequin						Schaufensterpuppe						maniquí						manichino												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
motorista do trator		motorista do trator	o/a motorista do trator	/ˈɔɐ mutuˈɾiʃtɐ du tɾɐˈtoɾ/	/ˈɔɐ motoˈɾistɐ du tɾaˈtoʁ/	sm	Profissional que conduz tratores, geralmente em atividades rurais ou de construção.		tractor driver						conductor del tractor						conducteur de tracteur						Traktorfahrer						tractorista						conducente del trattore												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
motorista		motorista	o/a motorista	/ˈɔɐ mutuˈɾiʃtɐ/	/ˈɔɐ motoˈɾistɐ/	s m/f	A pessoa que dirige um veículo automotor.		driver						conductor (de un vehículo)						chauffeur						Fahrer						conductor						autista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
motorista		motorista	o/a motorista	/ˈɔɐ mutuˈɾiʃtɐ/	/ˈɔɐ motoˈɾistɐ/	s m/f	A pessoa que dirige um veículo automotor.		driver						conductor (de un vehículo)						chauffeur						Fahrer						conductor						autista												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
motociclista		motociclista	o/a motociclista	/ˈɔɐ mutusiˈkliʃtɐ/	/ˈɔɐ motosiˈklistɐ/	s m/f	A pessoa que conduz uma motocicleta.		motorcyclist						motociclista, motorista (España)						motocycliste						Motorradfahrer						motorista						motociclista												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
oftalmologista	<img src="_oftalmologista.JPG">	oftalmologista	o/a oftalmologista	/ˈɔɐ oftaɫmuluˈʒiʃtɐ/	/ˈɔɐ oftawmoloˈʒistɐ/	s m/f	Médico especializado no diagnóstico e tratamento de doenças dos olhos.		ophthalmologist						oftalmólogo, oculista						ophtalmologue						Augenarzt						oftalmòleg						oculista												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes
oculista (profissão)		oculista	o/a oculista	/ˈɔɐ okuˈliʃtɐ/	/ˈɔɐ okuˈlistɐ/	s m/f	A pessoa que fabrica ou vende instrumentos óticos como óculos chama-se ótico ou . . .		optician (profession)						óptico / oculista						opticien (profession)						Optiker (Beruf)						òptic (professió)						ottico (professione)												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
paraquedista		paraquedista	o/a paraquedista	/ˈɔɐ pɐɾɐkɨˈdiʃtɐ/	/ˈɔɐ paɾakeˈdʒistɐ/	s m/f	Profissional que salta de paraquedas, geralmente em atividades militares ou esportivas.		parachutist						paracaidista						parachutiste						Fallschirmspringer						paracaigudista						paracadutista												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
piloto		piloto	o/a piloto	/ˈɔɐ piˈlɔtu/	/ˈɔɐ piˈlɔtu/	s m/f	Profissional responsável por conduzir aeronaves.		pilot	/ˈpʰaɪlət/	/ˈpʰaɪlət/				piloto						pilote						Pilot						pilot						pilota												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
pianista		pianista	o/a pianista	/ˈɔɐ piɐˈniʃtɐ/	/ˈɔɐ piɐˈnistɐ/	s m/f	Músico especializado em tocar piano.		pianist	/piːˈænɪst/	/ˈpʰiːᵊnɪst/				pianista						pianiste						Pianist						pianista						pianista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
psicanalista		psicanalista	o/a psicanalista	/ˈɔɐ psikɐnɐˈliʃtɐ/	/ˈɔɐ psikɐnaˈlistɐ/	s m/f	Profissional especializado na prática e estudo da psicanálise.		psychoanalyst	/ˌsaɪkoˈænəlɪst/	/ˌsaɪkəʊˈænəlɪst/				psicoanalista						psychanalyste						Psychoanalytiker						psicoanalista						psicanalista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
policial		policial	o/a policial	/ˈɔɐ pulisiˈaɫ/	/ˈɔɐ polisiˈaw/	s m/f	Agente de segurança pública.		police	/pəˈlis/	/pəˈliːs/				policía						policier						Polizei						policia						polizia												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
recepcionista		recepcionista	o/a recepcionista	/ˈɔɐ ʁɨsɨpsiuˈniʃtɐ/	/ˈɔɐ ʁesepsioˈnistɐ/	s m/f	Profissional que atende e organiza a recepção de pessoas em um local.		receptionist	/rɪˈsɛpʃənɪst/	/rɪˈsepʃᵊnɪst/				recepcionista						réceptionniste						Rezeptionist						recepcionista						receptionist												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
salva-vidas		salva-vidas	o/a salva-vidas	/ˈɔɐ saɫvɐˈvidɐʃ/	/ˈɔɐ sawvaˈvidas/	s m/f	Profissional que resgata pessoas em risco em ambientes aquáticos.		lifeguard						salvavidas, socorrista						Maître nageur						Rettungsschwimmer						socorrista						Bagnino												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
sambista		sambista	o/a sambista	/ˈɔɐ sɐ̃ˈbiʃtɐ/	/ˈɔɐ sɐ̃ˈbistɐ/	s m/f	Quem dança ou canta samba.		samba dancer						bailarin,a de samba						danseur de samba						Sambatänzer						ballarina de samba						ballerino di samba												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
cientista		cientista	o/a cientista	/ˈɔɐ siẽˈtiʃtɐ/	/ˈɔɐ siẽˈtʃistɐ/	s m/f	A pessoa cuja atividade se desenvolve no domínio de uma ciência.		scientist						cientifico						scientifique						Wissenschaftler						científic						scienziato												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
surfista		surfista	o/a surfista	/ˈɔɐ suɾˈfiʃtɐ/	/ˈɔɐ suʁˈfistɐ/	s m/f	Quem pratica surfe, esporte aquático.		surfer						surfista						surfeur						Surfer						surfista						surfista												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
estilísta		estilísta	o/a estilista	/ˈɔɐ ʃtiˈliʃtɐ/	/ˈɔɐ istʃiˈlistɐ/	s m/f	Profissional que cria, desenha ou seleciona roupas e acessórios, atuando na moda.		stylist						diseñador de ropa						styliste						Stylist						estilista						stilista												Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Description Vocabulary::People::Personality
estudante		estudante	o/a estudante	/ˈɔɐ ʃtuˈdɐ̃tɨ/	/ˈɔɐ istuˈdɐ̃tʃi/	s m/f	Pessoa que estuda em uma instituição de ensino.		student	/ˈstuːdn̩t/	/ˈstjuːdᵊnt/				estudiante						étudiant						Student						estudiant						studente												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
taxista		taxista	o/a taxista	/ˈɔɐ tɐˈksiʃtɐ/	/ˈɔɐ takˈsistɐ/	s m/f	Profissional que dirige um táxi para transporte de passageiros.		taxi driver	/ˈtʰæksi ˈdraɪvə˞/	/ˈtʰæksi ˈdraɪvə/				taxista						chauffeur de taxi						Taxifahrer						taxista						tassista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
telefonista		telefonista	o/a telefonista	/ˈɔɐ tɨlɨfuˈniʃtɐ/	/ˈɔɐ telefoˈnistɐ/	s m/f	Profissional responsável por atender chamadas telefônicas.		telephone operator						operador						opérateur						Operator						operador						operatore												Portugues::Curso::2A2 Portugues::Vocabulario::Cancao::Supertrabalhador Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
jurista		jurista	o/a jurista	/ˈɔɐ ʒuˈɾiʃtɐ/	/ˈɔɐ ʒuˈɾistɐ/	s m/f	Especialista em leis e legislação.		lawyer	/ˈlɑːjə˞/	/ˈlɔɪə/				abogado						juriste						Jurist						jurista						giurista												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
firma		firma	a firma	/ɐ ˈfiɾmɐ/	/a ˈfiʁmɐ/	sf	Nome ou razão social de uma empresa ou negócio.		firm						compañía, firma comercial						entreprise						Firma						ferm						azienda												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
folha de pagamento (BR)		folha de pagamento	a folha de pagamento	/ɐ ˈfɔʎɐ dɨ pɐɡɐˈmẽtu/	/a ˈfɔʎɐ dʒi paɡɐˈmẽtu/	sf	Documento ou registro que detalha os salários e benefícios pagos aos funcionários.		payroll (BR)						nómina (recibo de ...)						paie (BR)						Gehaltsabrechnung (BR)						nòmina (BR)						busta paga (BR)												Lugares::Brasil Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
cena		cena	a cena	/ɐ ˈsɛnɐ/	/a ˈsɛnɐ/	sf	Espaço usado por actores ou outros artistas (bailarinos, cantores, músicos) para se apresentarem em público.  Conjunto de objectos e efeitos cénicos que entram na composição do espaço de representação.		scene						escenario						scène						Szene						escena						scena												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
chefa		chefa	a chefa	/ɐ ˈʃɛfɐ/	/a ˈʃɛfɐ/	sf	A mulher que lidera uma equipe ou organização; uma líder feminina.		boss (f)	/ˈbɑs/	/ˈbɒs/				jefa						cheffe						Chefin						capessa					boss													Portugues::Curso::1A2 Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Pessoas::Relações_entre_as_pessoas Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::People::Relationships Vocabulary::Work_n_Career
advogada		advogada	a advogada	/ɐ ɐdvuˈɡadɐ/	/a adʒivoˈɡadɐ/	sf	Profissional feminina que representa clientes em assuntos jurídicos.		lawyer (f)	/ˈlɑːjə˞/	/ˈlɔɪə/				abogada						avocate						Anwältin						advocada						avvocato												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
aeromoça (BR)		aeromoça	a aeromoça	/ɐ ɐɛɾɔˈmɔsɐ/	/a aeɾoˈmɔsɐ/	sf	Profissional feminina que atende passageiros em aviões; termo usado especialmente no Brasil.		flight attendant (f) (BR)	/ˈflaɪt əˈtʰɛndənt/	/ˈflaɪt əˈtʰendᵊnt/				azafata (BR)						hôtesse de l&amp;amp;#x27;air						Flugbegleiterin						hostessa						hostess												Lugares::Brasil Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
aptidão		aptidão	a aptidão	/ɐ ɐptiˈdɐ̃w̃/	/a aptʃiˈdɐ̃w̃/	sf	A capacidade natural ou desenvolvida para realizar uma tarefa.		aptitude						aptitud						aptitude						Eignung						aptitud						attitudine												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
arquiteta		arquiteta	a arquiteta	/ɐ ɐɾkiˈtɛtɐ/	/a aʁkiˈtɛtɐ/	sf	Profissional feminina que projeta e desenha edifícios e espaços.		architect (f)	/ˈɑːrkəˌtɛkt/	/ˈɑːkɪtekt/				arquiteta						architecte						Architektin						arquitecta						architetta												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
demissão, renúncia		demissão, renúncia	a demissão, a renúncia	/ɐ dɨmiˈsɐ̃w̃ | ɐ ʁɨˈnũsiɐ/	/a demiˈsɐ̃w̃ | a ʁeˈnũsiɐ/	sf	Ato de desistir de um cargo ou responsabilidade.		resignation						dimisión, renuncia						démission						Rücktritt						renúncia						dimissioni												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
demissão / despedimento		demissão / despedimento	a demissão / o despedimento	/ɐ dɨmiˈsɐ̃w̃ | u dɨʃpɨdiˈmẽtu/	/a demiˈsɐ̃w̃ | u despedʒiˈmẽtu/	sm / sf	Ato de deixar um emprego ou cargo.		dismissal						despido, destitución. No confundir con dimisión						licenciement						Entlassung						acomiadament						licenziamento												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Vocabulario::Pessoas::Profissoes Portugues::Vocabulario::Trabalho Portugues::Vocabulario::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
