ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
antiquado, antiquada		antiquado, antiquada	antiquado, antiquada	/ɐ̃.ti.ˈkwa.du/ ,  /ɐ̃.ti.ˈkwa.dɐ/	/ ɐ̃tʃiˈkwadu | ɐ̃tʃiˈkwadɐ /	adj m/f	Que está fora de moda ou desatualizado.		old-fashioned	/ˈoʊldˈfæʃənd/	/ˌəʊldˈfæʃᵊnd/				anticuado							démodé						altmodisch						anticuat						antiquato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
aprumado, aprumada	<img src="Levi_Cat.jpg">	aprumado, aprumada	aprumado, aprumada	/ɐ.pɾu.ˈma.du/ ,  /ɐ.pɾu.ˈma.dɐ/	/ apɾuˈmadu | apɾuˈmadɐ /	adj m/f	Que tem postura correta ou está bem arrumado.		tidy	/ˈtaɪdi/	/ˈtaɪdi/				arreglado							soigné						ordentlich						endreçat						ordinato											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
áspero, áspera	<img src="Kenny Ackerman.jpg">	áspero, áspera	áspero, áspera	/ˈaʃ.pɨ.ɾu/ ,  /ˈaʃ.pɨ.ɾɐ/	/ ˈaspeɾu | ˈaspeɾɐ /	adj m/f	Que é rude, grosseiro ou pouco delicado.		rough	/ˈɹəf/	/ˈrʌf/				áspero							âpre						rau						aspra						ruvido											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
astuto, astuta	<img src="Erwin_01.jpg">	astuto, astuta	astuto, astuta	/ɐʃ.ˈtu.tu/ ,  /ɐʃ.ˈtu.tɐ/	/ asˈtutu | asˈtutɐ /	adj m/f	Que é sagaz, esperto ou habilidoso em enganar.		clever	/ˈklɛvə˞/	/ˈklevə/				astuto, astuta							astucieux						schlau						astut						astuto											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
atento, atenta	<img src="Franz Hannah 04.png">	atento, atenta	atento, atenta	/ɐ.ˈtẽ.tu/ ,  /ɐ.ˈtẽ.tɐ/	/ aˈtẽtu | aˈtẽtɐ /	adj m/f	Que está atento, concentrado ou vigilante.		attentive	/əˈtɛntɪv/	/əˈtentɪv/				atento, atenta							attentif						aufmerksam						atent						attento											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
atrasado, atrasada		atrasado, atrasada	atrasado, atrasada	/ɐ.tɾɐ.ˈza.du/ ,  /ɐ.tɾɐ.ˈza.dɐ/	/ atɾaˈzadu | atɾaˈzadɐ /	adj m/f	Que está fora do horário ou desatualizado.		late	/ˈleɪt/	/ˈleɪt/				retrasado, retrasada						en retard							spät						vençut						in ritardo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Tempo Portugues::Adjetivos
audacioso, audaciosa	<img src="Sasha_Eating_POtato.gif">	audacioso, audaciosa	audacioso, audaciosa	/aw.dɐ.si.ˈo.zu/ ,  /aw.dɐ.si.ˈo.zɐ/	/ awdasiˈɔzu | awdasiˈɔzɐ /	adj m/f	Que demonstra coragem ou ousadia.		audacious	/ɔˈdeɪʃəs/	/ɔːˈdeɪʃəs/				audaz						audacieux							wagemutig						agasarat						audace											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
avançado, avançada		avançado, avançada	avançado, avançada	/ɐ.vɐ̃.ˈsa.du/ ,  /ɐ.vɐ̃.ˈsa.dɐ/	/ avɐ̃ˈsadu | avɐ̃ˈsadɐ /	adj m/f	Que está além do comum ou do esperado.		advanced	/ədˈvænst/	/ədˈvɑːnst/				avanzado							avancé						fortschrittlich						avançat						avanzato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
avaro, avara, avarento, avarenta	<img src="Greedy_Eren.png">	avaro, avara, avarento, avarenta	avaro, avara, avarento, avarenta			adj m / f	Pessoa extremamente apegada ao dinheiro; mesquinho.		greedy	/ˈɡɹidi/	/ˈɡriːdi/				avaro							avare						geizig						avar						avaro											Portugues::Adjetivos Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao
bem-humorado, bem-humorada	<img src="Historia Hits Levi.gif">	bem-humorado, bem-humorada	bem-humorado, bem-humorada	/bɐ̃j-u.mu.ˈɾa.du/ ,  /bɐ̃j-u.mu.ˈɾa.dɐ/	/ bẽumoˈɾadu | bẽumoˈɾadɐ /	adj m/f	Que está de bom humor ou é alegre.		good-humored	/ˈɡʊdˈhjumə˞d/	/ˈɡʊdˈhjuːməd/				bienhumorado							de bonne humeur						gut gelaunt						benhumorat						buon umore											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
bem-intencionado, bem-intencionada		bem-intencionado, bem-intencionada	bem-intencionado, bem-intencionada	/bɐ̃j-ĩ.tẽ.si.u.ˈna.du/ ,  /bɐ̃j-ĩ.tẽ.si.u.ˈna.dɐ/	/ bẽĩtẽsioˈnadu | bẽĩtẽsioˈnadɐ /	adj m/f	Que tem boas intenções ou age de forma positiva.		well-meaning	/ˌwɛlˈminɪŋ/	/ˈwelˈmiːnɪŋ/				bien intencionado							bien intentionné						gut gemeint						bona intenció						bene intenzionato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
bom, boa	<img src="Krista Feeding Sasha.gif">	bom, boa	bom, boa	/bõ/ ,  /ˈbo.ɐ/	/ ˈbõ | ˈboɐ /	adj m/f	Que tem qualidade ou é moralmente correto.		good	/ˈɡʊd/	/ˈɡʊd/				bueno, buena							bon						gut						bo						buono											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
bonacheirão, bonacheirona, bonachão, bonachona		bonacheirão, bonacheirona, bonachão, bonachona	o bonacheirão, a bonacheirona, o bonachão, a bonachona	/bu.nɐ.ʃɐj.ˈɾɐ̃w/ ,  /bu.nɐ.ʃɐj.ˈɾo.nɐ/	/ bonaʃejˈɾɐ̃w̃ | bonaʃejˈɾonɐ /	sm / sf	Pessoa de temperamento amigável e descontraído.		jovial	/ˈdʒoʊviəl/	/ˈdʒəʊviəl/				bonachón, bonachona							bon enfant						gutmütig						bon xic						bonaccione											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
bondoso, bondosa		bondoso, bondosa	bondoso, bondosa	/bõ.ˈdo.zu/ ,  /bõ.ˈdo.zɐ/	/ bõˈdɔzu | bõˈdɔzɐ /	adj m/f	Que tem bondade ou é generoso.		kind	/ˈkaɪnd/	/ˈkaɪnd/				bondadoso							bienveillant						gütig						bondadós						gentile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
briguento, briguenta	<img src="Jean vs Eren.gif">	briguento, briguenta	briguento, briguenta	/bɾi.ˈgẽ.tu/ ,  /bɾi.ˈgẽ.tɐ/	/ bɾiˈɡẽtu | bɾiˈɡẽtɐ /	adj m/f	Que gosta de brigar ou discutir.		quarrelsome	/ˈkwɔrəlsəm/	/ˈkwɒrᵊlsəm/				pendenciero							bagarreur						streitsüchtig						pelaiquer						attaccabrighe											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
bruto, bruta		bruto, bruta	bruto, bruta	/ˈbɾu.tu/ ,  /ˈbɾu.tɐ/	/ ˈbɾutu | ˈbɾutɐ /	adj m/f	Que é rude, sem refinamento ou ignorante.		rude	/ˈɹud/	/ˈruːd/				bruto							brutal						roh						brutal						grezzo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
calmo, calma	<img src="SNK Beach.jpg">	calmo, calma	calmo, calma	/ˈkaɫ.mu/ ,  /ˈkaɫ.mɐ/	/ ˈkawmu | ˈkawmɐ /	adj m/f	Que está tranquilo ou sereno.		calm	/ˈkɑm/	/ˈkɑːm/				calm							tranquille						ruhig						calma						calmo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
canalha	<img src="Kenny_Teaching.jpg">	canalha	o canalha	/kɐ.ˈna.ʎɐ/	/ kɐˈnaʎɐ /	sm	Indivíduo desprezível ou desonesto.		scoundrel	/ˈskaʊndɹəl/	/ˈskaʊndrəl/				canalla							coquin						Schurke						canalla						canaglia											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
cándido, cándida	<img src="Marco_Bott_02.JPG">	cándido, cándida	cándido, cándida	/kɐ̃.ˈdi.du/ ,  /kɐ̃.ˈdi.dɐ/	/ ˈkandʒidu | ˈkandʒidɐ /	adj m/f	Que é puro, inocente ou sem malícia.		naive	/nɑˈiv/	/naɪˈiːv/				cándido							candide						naiv						càndid						candido											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
carinhoso, carinhosa		carinhoso, carinhosa	carinhoso, carinhosa	/kɐ.ɾi.ˈɲo.zu/ ,  /kɐ.ɾi.ˈɲo.zɐ/	/ kaɾiˈɲɔzu | kaɾiˈɲɔzɐ /	adj m/f	Que demonstra carinho ou afeto.		affectionate	/əˈfɛkʃənət/	/əˈfekʃᵊnət/				cariñoso							affectueux						liebevoll						carinós						affettuoso											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
cauto, cauta		cauto, cauta	cauto, cauta	/ˈkaw.tu/ ,  /ˈkaw.tɐ/	/ ˈkawtu | ˈkawtɐ /	adj m/f	Que é prudente ou precavido.		cautious	/ˈkɔʃəs/	/ˈkɔːʃəs/				cauto							circonspect						vorsichtig						caut						cauto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
chique		chique	chique	/ˈʃi.kɨ/	/ ˈʃiki /	adj m/f	Que é elegante ou refinado.		chic	/ˈʃik/	/ˈʃiːk/				elegante							chic						schick						xaque						elegante											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
cobarde	<img src="Daz.JPG">	cobarde	o cobarde	/ku.ˈbaɾ.dɨ/	/ koˈbaʁdʒi /	sm	Pessoa que demonstra medo excessivo ou falta de coragem.		cowardly	/ˈkaʊə˞dli/	/ˈkaʊədli/				cobarde							lâche						feige						covat						codardo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
confiante (pessoa)	<img src="Erwin_01.jpg">	confiante	confiante	/kõ.fi.ˈɐ̃.tɨ/	/ kõfiˈɐ̃tʃi /	adj m/f	Que demonstra confiança ou segurança.		confident	/ˈkɑnfədənt/	/ˈkɒnfɪdᵊnt/				seguro/a de sí mismo/a (con "c")							confiant						selbstbewusst						confident						confidente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Carácter Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
conservador, conservadora		conservador, conservadora	conservador, conservadora	/kõ.sɨɾ.vɐ.ˈdoɾ/ ,  /kõ.sɨɾ.vɐ.ˈdo.ɾɐ/	/ kõseʁvaˈdoʁ | kõseʁvaˈdɔɾɐ /	adj m/f	Que valoriza tradições ou resiste a mudanças.		conservative	/kənˈsɜ˞vətɪv/	/kənˈsɜːvətɪv/				conservador, conservadora							conservateur						konservativ						conservador						conservatore											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
corajoso, corajosa	<img src="sasha archer.JPG">	corajoso, corajosa	corajoso, corajosa	/ku.ɾɐ.ˈʒo.zu/ ,  /ku.ɾɐ.ˈʒo.zɐ/	/ koɾaˈʒɔzu | koɾaˈʒɔzɐ /	adj m/f	Que possui coragem ou valentia.		courageous	/kə˞ˈɹeɪdʒəs/	/kəˈreɪdʒəs/				valiente (con "c")							courageux						mutig						valent						coraggioso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
cruel	<img src="Faye_Gone.png">	cruel	cruel	/kɾu.ˈɛɫ/	/ kɾuˈɛw /	adj m/f	Que demonstra maldade ou insensibilidade.		cruel	/ˈkɹul/	/ˈkruːəl/				cruel							cruel						grausam						cruel						crudele											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
cuidadoso, cuidadosa		cuidadoso, cuidadosa	cuidadoso, cuidadosa	/kuj.dɐ.ˈdo.zu/ ,  /kuj.dɐ.ˈdo.zɐ/	/ kujdaˈdɔzu | kujdaˈdɔzɐ /	adj m/f	Que age com cuidado ou atenção.		careful	/ˈkɛrfəl/	/ˈkeəfᵊl/				cuidadoso, cuidadosa							prudent						vorsichtig						cuidadós						attento											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
decidido, decidida		decidido, decidida	decidido, decidida	/dɨ.sɨ.ˈdi.du/ ,  /dɨ.sɨ.ˈdi.dɐ/	/ desiˈdʒidu | desiˈdʒidɐ /	adj m/f	Que tem firmeza ou determinação.		decisive	/dɪˈsaɪsɪv/	/dɪˈsaɪsɪv/				decidido							décidé						entschlossen						decidit						deciso											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desabrido, desabrida		desabrido, desabrida	desabrido, desabrida	/dɨ.zɐ.ˈbɾi.du/ ,  /dɨ.zɐ.ˈbɾi.dɐ/	/ dezaˈbɾidu | dezaˈbɾidɐ /	adj m/f	Que é rude ou grosseiro.		rude	/ˈɹud/	/ˈruːd/				rudo							sévère						unhöflich						rude						ruvido											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desafetado, desafetada		desafetado, desafetada	desafetado, desafetada	/dɨ.zɐ.fɨ.ˈta.du/ ,  /dɨ.zɐ.fɨ.ˈta.dɐ/	/ dezafeˈtadu | dezafeˈtadɐ /	adj m/f	Que não demonstra afeto ou emoção.		sincere, spontaneous	/ˌənəˈfɛktəd/	/ˌʌnəˈfektɪd/				sincero, espontáneo (com "d")																																				Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desajeitado, desajeitada		desajeitado, desajeitada	desajeitado, desajeitada	/dɨ.zɐ.ʒɐj.ˈta.du/ ,  /dɨ.zɐ.ʒɐj.ˈta.dɐ/	/ dezaʒejˈtadu | dezaʒejˈtadɐ /	adj m/f	Que não tem jeito ou habilidade.		awkward	/ˈɔkwə˞d/	/ˈɔːkwəd/				torpe							maladroit						ungeschickt						torpe						goffo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desatento, desatenta		desatento, desatenta	desatento, desatenta	/dɨ.zɐ.ˈtẽ.tu/ ,  /dɨ.zɐ.ˈtẽ.tɐ/	/ dezaˈtẽtu | dezaˈtẽtɐ /	adj m/f	Que não presta atenção ou está distraído.		inattentive	/ˌɪnəˈtɛntɪv/	/ˌɪnəˈtentɪv/				desatento, desatenta							inattentif						unaufmerksam						desatent						disattento											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
descuidado, descuidada		descuidado, descuidada	descuidado, descuidada	/dɨʃ.kuj.ˈda.du/ ,  /dɨʃ.kuj.ˈda.dɐ/	/ deskujˈdadu | deskujˈdadɐ /	adj m/f	Que não toma os cuidados necessários.		careless	/ˈkɛrləs/	/ˈkeələs/				descuidado							négligent						unvorsichtig						descuidat						sciatto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
deselegante, deselegante		deselegante	deselegante	/dɨ.zɨ.ɫɨ.ˈgɐ̃.tɨ/ ,  /dɨ.zɨ.ɫɨ.ˈgɐ̃.tɨ/	/ dezeleˈɡɐ̃tʃi | dezeleˈɡɐ̃tʃi /	adj m/f	Que não é elegante ou refinado.		inelegant	/ɪnˈɛləɡənt/	/ɪˈnelɪɡᵊnt/				deselegante							désélegant						unelegant						desnelegant						inelegante											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desinteressado, desinteressada		desinteressado, desinteressada	desinteressado, desinteressada	/dɨ.zĩ.tɨ.ɾɨ.ˈsa.du/ ,  /dɨ.zĩ.tɨ.ɾɨ.ˈsa.dɐ/	/ dezĩteɾeˈsadu | dezĩteɾeˈsadɐ /	adj m/f	Que não demonstra interesse ou apatia.		selfless	/ˈsɛlfləs/	/ˈselfləs/				desinteresado, desinteresada (generoso,generosa)							désintéressé						uneigennützig						desinteressat						disinteressato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desleal, desleais		desleal, desleais	desleal, desleais	/dɨ.ʒɫi.ˈaɫ/	/ deʒliˈaw /	adj m / adj pl	Que não age com lealdade.		disloyal	/dɪsˈlɔɪəl/	/ˌdɪsˈlɔɪəl/				traicionero, desleal							déloyal						unloyal						deslleial						disleale											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desleixado, desleixada		desleixado, desleixada	desleixado, desleixada	/dɨ.ʒɫɐj.ˈʃa.du/ ,  /dɨ.ʒɫɐj.ˈʃa.dɐ/	/ deʒlejˈʃadu | deʒlejˈʃadɐ /	adj m/f	Que não se cuida ou é desorganizado.		sloppy	/ˈslɑpi/	/ˈslɒpi/				despreocupado							négligé						schlampig						desatés						sciatto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desobediente		desobediente	desobediente	/dɨ.zu.bɨ.di.ˈẽ.tɨ/	/ dezobedʒiˈẽtʃi /	adj m/f	Que não obedece ou segue regras.		disobedient	/ˌdɪsəˈbidiənt/	/ˌdɪsəˈbiːdiənt/				desobediente							désobéissant						ungehorsam						desobedient						disobbediente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desonesto, desonesta		desonesto, desonesta	desonesto, desonesta	/dɨ.zu.ˈneʃ.tu/ ,  /dɨ.zu.ˈneʃ.tɐ/	/ dezoˈnɛstu | dezoˈnɛstɐ /	adj m/f	Que não é honesto ou íntegro.		dishonest	/dɪsˈɑnəst/	/dɪˈsɒnɪst/				deshonesto							déshonnête						unaufrichtig						dishonest						disonesto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
despistado, despistada	<img src="Levi_Hange.gif">	despistado, despistada	despistado, despistada	/dɨʃ.pɨʃ.ˈta.du/ ,  /dɨʃ.pɨʃ.ˈta.dɐ/	/ despisˈtadu | despisˈtadɐ /	adj m/f	Que está desorientado ou distraído.		clueless	/ˈkluləs/	/ˈkluːləs/				despistado							étourdi						ahnungslos						distret						distratto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desprecavido, desprecavida	<img src="Hange_Bean.jpg">	desprecavido, desprecavida	desprecavido, desprecavida	/dɨʃ.pɾɨ.kɐ.ˈvi.du/ ,  /dɨʃ.pɾɨ.kɐ.ˈvi.dɐ/	/ despɾekaˈvidu | despɾekaˈvidɐ /	adj m/f	Que não toma precauções.		unwary	/ˌənˈwɛri/	/ʌnˈweəri/				desprevenido							insouciant						sorglos						desprevingut						spensierato											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
destemido, destemida	<img src="Hange_Crazy_Titan.jpg">	destemido, destemida	destemido, destemida	/dɨʃ.tɨ.ˈmi.du/ ,  /dɨʃ.tɨ.ˈmi.dɐ/	/ desteˈmidu | desteˈmidɐ /	adj m/f	Que não tem medo ou é corajoso.		fearless	/ˈfɪrləs/	/ˈfɪələs/				impávido							intrepide						furchtlos						sense por						intrepido											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
desumano, desumana		desumano, desumana	desumano, desumana	/dɨ.zu.ˈmɐ.nu/ ,  /dɨ.zu.ˈmɐ.nɐ/	/ dezuˈmɐnu | dezuˈmɐnɐ /	adj m/f	Que não demonstra humanidade ou compaixão.		inhumane	/ˌɪnhjuˈmeɪn/	/ˌɪnhjʊˈmeɪn/				inhumano							inhumain						inhuman						inhumà disumano																	Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
