#separator:tab
#html:true
#tags column:25
dar + imperativo	dar	imperativo		Dá	Dê	Demos	Dêem		Não dês	Não dê	Não demos	Não dêem		/ˈda/	/ˈde/	/ˈdɛmuʃ/	/ˈdeɐ̃j/		/ˈnɐ̃w ˈdeʃ/	/ˈnɐ̃w ˈde/	/ˈnɐ̃w̃ ˈdɛmuʃ/	/ˈnɐ̃w ˈdeɐ̃j/		Portugues::Conjugacao Curso::1A2 Curso::2A2
Passar + Imperativo	Passar	Imperativo		Passa	Passe	Passemos	Passem		Não passes	Não passe	Não passemos	Não passem		/ˈpasɐ/	/ˈpasɨ/	/pɐˈsemuʃ/	/ˈpasɐ̃j̃/		/ˈnɐ̃w̃ ˈpasɨʃ/	/ˈnɐ̃w̃ ˈpasɨ/	/ˈnɐ̃w̃ pɐˈsemuʃ/	/ˈnɐ̃w̃ ˈpasɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Chegar + Imperativo	Chegar	Imperativo		Chega	Chegue	Cheguemos	Cheguem		Não chegues	Não chegue	Não cheguemos	Não cheguem		/ˈʃɛɡɐ/	/ˈʃɛɡɨ/	/ʃɨˈɡemuʃ/	/ˈʃɛɡɐ̃j̃/		/ˈnɐ̃w̃ ˈʃɛɡɨʃ/	/ˈnɐ̃w̃ ˈʃɛɡɨ/	/ˈnɐ̃w̃ ʃɨˈɡemuʃ/	/ˈnɐ̃w̃ ˈʃɛɡɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Acreditar + Imperativo	Acreditar	Imperativo		Acredita	Acredite	Acreditemos	Acreditem		Não acredites	Não acredite	Não acreditemos	Não acreditem		/ɐkɾɨˈditɐ/	/ɐkɾɨˈditɨ/	/ɐkɾɨdiˈtemuʃ/	/ɐkɾɨˈditɐ̃j̃/		/ˈnɐ̃w̃ ɐkɾɨˈditɨʃ/	/ˈnɐ̃w̃ ɐkɾɨˈditɨ/	/ˈnɐ̃w̃ ɐkɾɨdiˈtemuʃ/	/ˈnɐ̃w̃ ɐkɾɨˈditɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Tratar + Imperativo	Tratar	Imperativo		Trata	Trate	Tratemos	Tratem		Não trates	Não trate	Não tratemos	Não tratem		/ˈtɾatɐ/	/ˈtɾatɨ/	/tɾɐˈtemuʃ/	/ˈtɾatɐ̃j̃/		/ˈnɐ̃w̃ ˈtɾatɨʃ/	/ˈnɐ̃w̃ ˈtɾatɨ/	/ˈnɐ̃w̃ tɾɐˈtemuʃ/	/ˈnɐ̃w̃ ˈtɾatɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Voltar + Imperativo	Voltar	Imperativo		Volta	Volte	Voltemos	Voltem		Não voltes	Não volte	Não voltemos	Não voltem		/ˈvɔɫtɐ/	/ˈvɔɫtɨ/	/vɔɫˈtemuʃ/	/ˈvɔɫtɐ̃j̃/		/ˈnɐ̃w̃ ˈvɔɫtɨʃ/	/ˈnɐ̃w̃ ˈvɔɫtɨ/	/ˈnɐ̃w̃ vɔɫˈtemuʃ/	/ˈnɐ̃w̃ ˈvɔɫtɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Concordar + Imperativo	Concordar	Imperativo		Concorda	Concorde	Concordemos	Concordem		Não concordes	Não concorde	Não concordemos	Não concordem		/kõˈkɔɾdɐ/	/kõˈkɔɾdɨ/	/kõkuɾˈdemuʃ/	/kõˈkɔɾdɐ̃j̃/		/ˈnɐ̃w̃ kõˈkɔɾdɨʃ/	/ˈnɐ̃w̃ kõˈkɔɾdɨ/	/ˈnɐ̃w̃ kõkuɾˈdemuʃ/	/ˈnɐ̃w̃ kõˈkɔɾdɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Discordar + Imperativo	Discordar	Imperativo		Discorda	Discorde	Discordemos	Discordem		Não discordes	Não discorde	Não discordemos	Não discordem		/diˈʃkɔɾdɐ/	/diˈʃkɔɾdɨ/	/diʃkuɾˈdemuʃ/	/diˈʃkɔɾdɐ̃j̃/		/ˈnɐ̃w̃ diˈʃkɔɾdɨʃ/	/ˈnɐ̃w̃ diˈʃkɔɾdɨ/	/ˈnɐ̃w̃ diʃkuɾˈdemuʃ/	/ˈnɐ̃w̃ diˈʃkɔɾdɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Participar + Imperativo	Participar	Imperativo		Participa	Participe	Participemos	Participem		Não participes	Não participe	Não participemos	Não participem		/pɐɾtiˈsipɐ/	/pɐɾtiˈsipɨ/	/pɐɾtisiˈpemuʃ/	/pɐɾtiˈsipɐ̃j̃/		/ˈnɐ̃w̃ pɐɾtiˈsipɨʃ/	/ˈnɐ̃w̃ pɐɾtiˈsipɨ/	/ˈnɐ̃w̃ pɐɾtisiˈpemuʃ/	/ˈnɐ̃w̃ pɐɾtiˈsipɐ̃j̃/		Portugues::Conjugacao Curso::2A2
Nascer + Imperativo	Nascer	Imperativo		Nasce	Nasça	Nascemos	Nasçam		Não nasças	Não nasça	Não nasçamos	Não nasçam		/ˈnaʃsɨ/	/ˈnassɐ/	/nɐˈʃsemuʃ/	/ˈnassɐ̃w̃/		/ˈnɐ̃w̃ ˈnassɐʃ/	/ˈnɐ̃w̃ ˈnassɐ/	/ˈnɐ̃w̃ nɐsˈsɐmuʃ/	/ˈnɐ̃w̃ ˈnassɐ̃w̃/		Portugues::Conjugacao Curso::2A2
Viver + Imperativo	Viver	Imperativo		Vive	Viva	Vivamos	Vivam		Não vivas	Não viva	Não vivamos	Não vivam		/ˈvivɨ/	/ˈvivɐ/	/viˈvɐmuʃ/	/ˈvivɐ̃w̃/		/ˈnɐ̃w̃ ˈvivɐʃ/	/ˈnɐ̃w̃ ˈvivɐ/	/ˈnɐ̃w̃ viˈvɐmuʃ/	/ˈnɐ̃w̃ ˈvivɐ̃w̃/		Portugues::Conjugacao Curso::2A2
Ter + Imperativo	Ter	Imperativo		Tem	Tenha	Tenhamos	Tenham		Não tenhas	Não tenha	Não tenhamos	Não tenham		/ˈtɐ̃j̃/	/ˈtɐɲɐ/	/tɨˈɲɐmuʃ/	/ˈtɐɲɐ̃w̃/		/ˈnɐ̃w̃ ˈtɐɲɐʃ/	/ˈnɐ̃w̃ ˈtɐɲɐ/	/ˈnɐ̃w̃ tɨˈɲɐmuʃ/	/ˈnɐ̃w̃ ˈtɐɲɐ̃w̃/		Portugues::Conjugacao Curso::2A2
