#separator:tab
#html:true
#tags column:52
bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	bem-disposto, bem-disposta	bem-disposto, bem-disposta	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m/f	Que está de bom humor ou com disposição favorável.	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>	good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/	adj	Optimistic, cheerful, and in a good mood.		con ánimos (salud), alegre						de bonne humeur						fröhlich						bendispost						ben disposto												Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Carácter Portugues::Vocabulario::Pessoas::Descripçao Portugues::Vocabulario::Saude Vocabulary::Health
colocar um penso	"<img src=""_poner_um_penso.JPG"">"	colocar um penso	colocar um penso	/kuluˈkaɾ ˈũ ˈpẽsu/	/koloˈkaʁ ˈũ ˈpẽsu/	exp	Ação de cobrir uma ferida com um curativo.		apply a bandage	/əˈplaɪ ə ˈbændɪdʒ/	/əˈplaɪ ə ˈbændɪdʒ/	v	To cover a wound or injury with a protective strip of material.		poner un vendaje						mettre un bandage						einen Verband anlegen						posar un embenat						mettere una benda												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
caiu e partiu o braço	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	caiu e partiu o braço	caiu e partiu o braço	/ˈkajw i pɐɾˈtiw u ˈbɾasu/	/ˈkajw i paʁˈtʃiw u ˈbɾasu/	exp	Expressão que descreve um acidente que resultou em fratura no braço.		fell and broke his arm	/ˈfɛl ənd ˈbɹoʊk ˈhɪz ˈɑrm/	/ˈfel ənd ˈbrəʊk hɪz ˈɑːm/	v	An expression describing an accident resulting in a fractured arm.		cayó y se rompió el brazo						il est tombé et s'est cassé le bras						er ist gefallen und hat sich den Arm gebrochen						va caure i s'ha trencat el braç						è caduto e si è rotto il braccio												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
anda com yeso	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	anda com yeso	anda com yeso	/ˈɐ̃dɐ ˈkõ ˈɛzu/	/ˈɐ̃dɐ ˈkõ ˈɛzu/	exp	Expressão indicando que alguém está usando gesso em um membro.		he is wearing a cast	//		exp	Someone is wearing a rigid support for healing a broken bone.		anda con yeso						porte un plâtre						er trägt einen Gips						camina amb guix, porta un guix						cammina con il gesso /  porta un gesso												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
cai e magoei o joelho	"<img src=""_lastimar_rodilla_hurt_knee.JPG"">"	cai e magoei o joelho	cai e magoei o joelho	/ˈkaj i mɐɡuˈɐj u ʒuˈɐʎu/	/ˈkaj i maɡoˈej u ʒoˈeʎu/	exp	Expressão que indica lesão no joelho após uma queda.		I fell and hurt the knee	/aɪ ˈfɛl ənd ˈhɜ˞t ðə ˈni/	/aɪ ˈfel ənd ˈhɜːt ðə ˈniː/	v	An expression describing an accident resulting in a knee injury.		caí y me lastimé la rodilla						tomber et se blesser au genou						fallen und sich das Knie verletzen						caure i ferir-se el genoll						cadere e ferire il ginocchio												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
magoar-se	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	magoar-se	magoar-se	/mɐɡuˈaɾsɨ/	/maɡoˈaʁsi/	v	Ficar ferido ou machucar-se, física ou emocionalmente.		to hurt oneself	/tə ˈhɜ˞t ˌwənˈsɛlf/	/tə ˈhɜːt ˌwʌnˈself/	exp	To injure one’s own body accidentally or intentionally.		"lastimarse (con ""m"")"						se blesser						sich verletzen						ferir-se						ferirsi												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
está a deitar sangue	"<img src=""_esta_deitar_sangue_sangrando_bleeding.JPG"">"	está a deitar sangue	está a deitar sangue	/ˈʃta ɐ dɐjˈtaɾ ˈsɐ̃ɡɨ/	/isˈta a dejˈtaʁ ˈsɐ̃ɡi/	exp	Expressão indicando que uma ferida está sangrando.		is bleeding	/ˈɪz ˈblidɪŋ/	/ˈɪz ˈbliːdɪŋ/	adj	To lose blood from a wound or injury.		está sangrando						il saigne						blutet						està sagnant						sta sanguinando												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
tosse às vezes	"<img src=""_tosser.gif"">"	tosse às vezes	tosse às vezes	/ˈtɔsɨ ˈaʒ ˈvɛzɨʃ/	/ˈtɔsi ˈas ˈvɛzes/	exp	Indica que a pessoa apresenta tosse ocasionalmente.		coughs sometimes	/ˈkʰɔfs ˈsəmˌtaɪmz/	/ˈkʰɒfs ˈsʌmtaɪmz/	v	To expel air from the lungs suddenly, producing a sound.		tose a veces						tousse parfois						hustet manchmal						tossa a vegades						tosse a volte												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Sintomas Vocabulary::Health
tem dor de garganta	"<img src=""_dor_garganta.JPG"">"	tem dor de garganta	tem dor de garganta	/ˈtɐ̃j̃ ˈdoɾ dɨ ɡɐɾˈɡɐ̃tɐ/	/ˈtẽj̃ ˈdoʁ dʒi ɡaʁˈɡɐ̃tɐ/	exp	Expressão indicando desconforto ou dor na garganta.		has a sore throat	/həz ə ˈsɔr ˈθɹoʊt/	/həz ə ˈsɔː ˈθrəʊt/	v	To experience pain or discomfort in the throat.		tiene dolor de garganta						a mal à la gorge						halsweh						te mal de coll						ha mal di gola												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
para apanhar sol precisa de protetor solar	"<img src=""_protetor_solar.JPG"">"	para apanhar sol precisa de protetor solar	para apanhar sol precisa de protetor solar	/pɐɾɐ ɐpɐˈɲaɾ ˈsɔɫ pɾɨˈsizɐ dɨ pɾutɨˈtoɾ suˈlaɾ/	/paɾɐ apɐˈɲaʁ ˈsɔw pɾeˈsizɐ dʒi pɾoteˈtoʁ soˈlaʁ/	exp	Frase que alerta sobre a necessidade de usar proteção solar ao se expor ao sol.		to sunbathe needs sunscreen	/tə ˈsənˌbeɪð ˈnidz ˈsənˌskɹin/	/tə ˈsʌnbeɪð ˈniːdz ˈsʌnskriːn/	exp	To lie in the sun to tan while requiring protective cream to avoid burns.		para tomar el sol necesita protector solar						pour bronzer a besoin de crème solaire						um sich zu sonnen, braucht Sonnenschutz						fer-se necessitar protecció solar						per prendere il sole serve la crema solare												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Actividades::Praia Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Vocabulary::Health
contratura	"<img src=""_contratura_contractura.JPG"">"	contratura	a contratura	/ɐ kõtɾɐˈtuɾɐ/	/a kõtɾaˈtuɾɐ/	sf	Enrijecimento ou espasmo involuntário de um músculo.		contracture	/kənˈtɹæktʃə˞/	/kənˈtræktʃə/	n	The permanent tightening of muscles, tendons, or skin that restricts movement.		contractura						contracture						Kontraktur						contractura						contrattura												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
ter / dar um jeito	"<img src=""_dar_um_jeito.JPG"">"	ter / dar um jeito	ter / dar um jeito	/ˈteɾ | ˈdaɾ ˈũ ˈʒɐjtu/	/ˈteʁ | ˈdaʁ ˈũ ˈʒejtu/	exp	Expressão que significa encontrar uma solução ou resolver algo.		contracture	/kənˈtɹæktʃə˞/	/kənˈtræktʃə/	n	The permanent tightening of muscles, tendons, or skin.		contractura						contracture						Kontraktur						contractura						contrattura												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
ampolas	"<img src=""_ampolas_ampolletas.JPG"">"	ampolas	as ampolas	/ɐz ɐ̃ˈpɔlɐʃ/	/az ɐ̃ˈpɔlas/	sfp	Recipientes pequenos usados para armazenar líquidos medicinais.	Tubo&nbsp;pequeno,&nbsp;fechado,&nbsp;que&nbsp;contém&nbsp;líquido&nbsp;no&nbsp;seu&nbsp;interior.	blisters	/ˈblɪstə˞z/	/ˈblɪstəz/	np	Small bubbles on the skin filled with fluid, often caused by friction or burns.		ampollas						ampoules						Blasen						ampolles						vesciche												Portugues::Curso::1A2 Portugues::Falso_Amigo Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Medicinas Vocabulary::Health
feridas	"<img src=""_feridas.JPG"">"	feridas	as feridas	/ɐʃ fɨˈɾidɐʃ/	/aʃ feˈɾidas/	sfp	Lesões na pele ou em tecidos mais profundos causadas por cortes, batidas ou doenças.		wounds	/ˈwundz/	/ˈwuːndz/	np	Physical injuries, especially cuts or abrasions.		heridas						blessures						Wunden						ferides						ferite												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
dor de pés	"<img src=""_dor_de_pes_dolor_de_pies.JPG"">"	dor de pés	a dor de pés	/ɐ ˈdoɾ dɨ ˈpɛʃ/	/a ˈdoʁ dʒi ˈpɛs/	sf	Desconforto ou dor nos pés.		foot pain	/ˈfʊt ˈpʰeɪn/	/ˈfʊt ˈpʰeɪn/	n	Discomfort or ache in the foot.		dolor de pies						douleur aux pieds						Fußschmerzen						dolor als peus						dolore ai piedi												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
fiz um entorse	"<img src=""_torceu_um_pe.JPG"">"	fiz um entorse	fiz um entorse	/ˈfiʃ ˈũ ẽˈtɔɾsɨ/	/ˈfiʃ ˈũ ẽˈtɔʁsi/	exp	Indica que sofreu uma torção em alguma articulação.		I sprained	/aɪ ˈspɹeɪnd/	/aɪ ˈspreɪnd/	v	To twist or injure a joint, causing pain and swelling.		me hice un esguince, me torcí						je me suis foulé						ich habe mich verstaucht						m'he fet un esquinç						mi sono slogato												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Vocabulary::Health
dor de estômago	"<img src=""_stomach_ache.jpg"">"	dor de estômago	a dor de estômago	/ɐ ˈdoɾ dɨ ˈʃtomɐɡu/	/a ˈdoʁ dʒi isˈtomaɡu/	sf	Desconforto ou dor na região do estômago.		stomach pain	/ˈstəmək ˈpʰeɪn/	/ˈstʌmək ˈpʰeɪn/	n	Discomfort or ache in the abdominal area.		dolor de estómago						douleur d'estomac						Bauchschmerzen						dolor d'estómac						dolore di stomaco												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
diarrea	"<img src=""_diarrea.jpg"">"	diarrea	a diarrea	/ɐ diɐˈʁɛɐ/	/a dʒiaˈʁɛɐ/	sf	Eliminação frequente de fezes líquidas.		diarrhea	/ˌdaɪə˞ˈɹiə/	/ˌdaɪəˈrɪə/	n	A condition of frequent, loose, or watery bowel movements.		diarrea						diarrhée						Durchfall						diarrea						diarrea												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
xarope para tosse	"<img src=""_xarope_tosse.JPG"">"	xarope para tosse	o xarope para tosse	/u ʃɐˈɾɔpɨ pɐɾɐ ˈtɔsɨ/	/u ʃaˈɾɔpi paɾɐ ˈtɔsi/	sm	Líquido medicinal usado para aliviar a tosse.		cough syrup	/ˈkʰɔf ˈsɪrəp/	/ˈkʰɒf ˈsɪrəp/	n	A liquid medicine taken to relieve coughing.		jarabe para la tos						sirop pour la toux						Hustensaft						almívar per a la tos						sciroppo per la tosse												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Medicinas Vocabulary::Health
ter febre	"<img src=""_ter_febre.JPG"">"	ter febre	ter febre	/ˈteɾ ˈfɛbɾɨ/	/ˈteʁ ˈfɛbɾi/	exp	Estado de ter temperatura corporal elevada acima do normal.		to have a fever	/tə həv ə ˈfivə˞/	/tə həv ə ˈfiːvə/	exp	To experience an elevated body temperature due to illness.		tener fiebre						avoir de la fièvre						Fieber haben						tenir febre						avere la febbre												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Portugues::Vocabulario::Saude::Sintomas Vocabulary::Health
gripe	"<img src=""_resfriados.JPG"">"	gripe	a gripe	/ɐ ˈɡɾipɨ/	/a ˈɡɾipi/	sf	Doença infecciosa causada por vírus, com sintomas como febre e dor de garganta.		flu	/ˈflu/	/ˈfluː/	n	A viral infection causing fever, aches, and respiratory symptoms.		gripe						grippe						Grippe						grip						influenza												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
ir ao médico	"<img src=""_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG"">"	ir ao médico	ir ao médico	/ˈiɾ ɐu ˈmɛdiku/	/ˈiʁ au ˈmɛdʒiku/	exp	Consultar um profissional de saúde.		go to the doctor	/ˈɡoʊ tə ðə ˈdɑktə˞/	/ˈɡəʊ tə ðə ˈdɒktə/	adj	To visit a medical professional for diagnosis or treatment.		ir al médico						aller chez le médecin						zum Arzt gehen						anar al metge						andare dal medico												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
farmácia	"<img src=""_farmacia.JPG"">"	farmácia	a farmácia	/ɐ fɐɾˈmasiɐ/	/a faʁˈmasiɐ/	sf	Local onde se vendem medicamentos e produtos relacionados à saúde.		pharmacy	/ˈfɑrməsi/	/ˈfɑːməsi/	n	A store where medicinal drugs are dispensed.		farmacia	/faɾˈmaθja/	/faɾˈmasja/				pharmacie		/faʁmasi/				Apotheke		/apoˈteːkə/				farmàcia						farmacia	/farmatʃa/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Locais Portugues::Vocabulario::Saude Vocabulary::City Vocabulary::Health Vocabulary::Work_n_Career::Workplace
hospital	"<img src=""_hospital.JPG"">"	hospital	o hospital	/u oʃpiˈtaɫ/	/u ospiˈtaw/	sm	Estabelecimento onde se prestam cuidados médicos.		hospital	/ˈhɑspɪtl̩/	/ˈhɒspɪtᵊl/	n	A facility for medical care and treatment of patients.		hospital	/ospiˈtal/	/ospiˈtal/				hôpital		/ɔpital/				Krankenhaus		/ˈkraŋkn̩haʊ̯s/				hospital						ospedale	/ospeˈdale/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Locais Portugues::Vocabulario::Saude Vocabulary::City Vocabulary::Health Vocabulary::Work_n_Career::Workplace
oculista	"<img src=""_oculista.JPG"">"	oculista	o/a oculista	/ˈɔɐ okuˈliʃtɐ/	/ˈɔɐ okuˈlistɐ/	sm/f	Especialista ou comerciante que lida com lentes e óculos.		optician	/ɑpˈtʰɪʃən/	/ɒpˈtʰɪʃᵊn/	n	A specialist who designs and fits eyeglasses.		óptico	/ˈoptiko/	/ˈoptiko/				opticien		/ɔptisjɛ̃/				Optiker		/ˈɔptɪkɐ/				optica						ottico	/ˈɔttiko/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Locais Portugues::Vocabulario::Saude Vocabulary::City Vocabulary::Health Vocabulary::Work_n_Career::Workplace
cansaço	"<img src=""_cancancio_cansaco.JPG"">"	cansaço	o cansaço	/u kɐ̃ˈsasu/	/u kɐ̃ˈsasu/	sm	(s.) Fadiga ou exaustão física ou mental.		tiredness	/ˈtʰaɪə˞dnɪs/	/ˈtʰaɪədnəs/	n	The state of feeling exhausted or lacking energy.		cansancio						fatigue						Müdigkeit						cansament						stanchezza												Portugues::Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
constipação	"<img src=""_constipacao_resfriado.JPG"">"	constipação	a constipação	/ɐ kõʃtipɐˈsɐ̃w̃/	/a kõstʃipaˈsɐ̃w̃/	sf	Resfriado comum, congestão nasal.		cold	/ˈkʰoʊld/	/ˈkʰəʊld/	n	A common viral infection causing sneezing, runny nose, and sore throat.		resfriado						rhume						Erkältung						constipat/raffreddore																		Portugues::Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
doença	"<img src=""_doenca_enfermedades.JPG"">"	doença	a doença	/ɐ duˈẽsɐ/	/a doˈẽsɐ/	sf	Alteração da saúde; enfermidade.		disease	/dɪˈziz/	/dɪˈziːz/	n	A condition that impairs the normal functioning of the body or mind.		enfermedad						maladie						Krankheit						malatia, dolenta						du mal/malattia												Portugues::Curso::2A2 Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
soluço	"<img src=""_soluco_hiccup_hipo.JPG"">"	soluço	o soluço	/u suˈlusu/	/u soˈlusu/	sm	Contração espasmódica que provoca aspirações bruscas de ar, originando um ruído particular à passagem pela glote. Choro, gemido		hiccup	/ˈhɪˌkəp/	/ˈhɪkʌp/	n	An involuntary spasm of the diaphragm causing a sudden sound.		hipo						hicte						Schluckauf						solucchio						sbadiglio												Portugues::Curso::2A2 Portugues::Falso_Amigo Portugues::Livros::2A2_Cinco_minutos Portugues::Vocabulario::Saude Vocabulary::Health
cancro		cancro	o cancro	/u ˈkɐ̃kɾu/	/u ˈkɐ̃kɾu/	sm	Termo usado em Portugal para designar a doença do câncer.		cancer	/ˈkʰænsə˞/	/ˈkʰænsə/	n	A disease characterized by uncontrolled cell growth in the body.		cáncer						cancer						Krebs						càncer						cancro												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
vacinação		vacinação	a vacinação	/ɐ vɐsinɐˈsɐ̃w̃/	/a vasinaˈsɐ̃w̃/	sf	O processo de administrar uma vacina para imunizar contra doenças.		vaccination	/ˌvæksəˈneɪʃən/	/ˌvæksɪˈneɪʃᵊn/	n	The act of administering a vaccine to protect against a specific disease.		vacunación						vaccination						Impfen						vacunació						vaccinazione												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
vacina 		vacina	a vacina	/ɐ vɐˈsinɐ/	/a vaˈsinɐ/	sf	Substância utilizada para prevenir doenças infecciosas.		vaccine	/vækˈsin/	/ˈvæksiːn/	n	A substance used to stimulate the production of antibodies and provide immunity against diseases.		vacuna						vaccin						Impstoff						vacuna						vaccino												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
plaquetas		plaquetas	as plaquetas	/ɐʃ plɐˈkɛtɐʃ/	/aʃ plaˈkɛtas/	sfp	Fragmentos celulares presentes no sangue que ajudam na coagulação.		platelets	/ˈpleɪtləts/	/ˈpleɪtləts/	np	Small cell fragments in the blood that help with clotting.		plaquetas						plaquettes						Thrombozyten						plaquetes						piastrine												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
dopamina		dopamina	a dopamina	/ɐ dupɐˈminɐ/	/a dopɐˈminɐ/	sf	Neurotransmissor que influencia o prazer e a motivação.		dopamine	/ˈdoʊpəˌmin/	/ˈdɒpəmɪn/	n	A neurotransmitter involved in reward, pleasure, and motor function in the brain.		dopamina						dopamine						Dopamin						dopamina						dopamina												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
serotonina		serotonina	a serotonina	/ɐ sɨɾutuˈninɐ/	/a seɾotoˈninɐ/	sf	Neurotransmissor que regula o humor e o sono.		serotonin	/ˌsɪrəˈtʰoʊnən/	/ˌserəˈtʰəʊnɪn/	n	A neurotransmitter that regulates mood, sleep, and appetite.		serotonina						sérotonine						Serotonin						serotonina						serotonina												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
histamina		histamina	a histamina	/ɐ iʃtɐˈminɐ/	/a istɐˈminɐ/	sf	Composto químico envolvido em reações alérgicas e inflamações.		histamine	/ˈhɪstəˌmin/	/ˈhɪstəmiːn/	n	A compound released during allergic reactions and inflammation.		histamina						histamine						Histamin						histamina						istamina												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
estrogênio		estrogênio	o estrogênio	/u ʃtɾuˈʒeniu/	/u istɾoˈʒeniu/	sm	Hormônio sexual predominante em mulheres.		estrogen	/ˈɛstɹədʒən/	/ˈestrədʒən/	n	A primary female sex hormone involved in reproductive and other bodily functions.		estrógeno						œstrogène						Östrogen						estrògen						estrogeno												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Health
