#separator:tab
#html:true
#tags column:8
PT - Eu tive uma ideia que me pareceu boa.	Eu tive uma ideia que me pareceu boa.	[sound:_pt_eu_tive_uma_ideia_que_me_pareceu_boa..mp3]	"/<span style=""white-space: pre-wrap;"">ˈ<b>ew ˈti</b>.vɨ <b>ˈu.</b>mɐ i.<b>ˈdɐj</b>.ɐ kɨ mɨ pɐ.ɾɨ.<b>ˈsew</b> <b>ˈbo</b>.ɐ.</span>/"	Português (PT)			Portugues::Frases::Passado Portugues::Verbos::Basicos::ter
PT - nunca fiz surf	nunca fiz surf	[sound:_pt_nunca_fiz_surf.mp3]		Português			Portugues::Frases
PT - inscreve-te!	inscreve-te!	[sound:_pt_inscreve-te!.mp3]		Português			Portugues::Frases
PT - não te inscrevas!	não te inscrevas!	[sound:_pt_não_te_inscrevas!.mp3]		Português			Portugues::Frases
PT - peixinhos da horta	peixinhos da horta	[sound:_pt_peixinhos_da_horta.mp3]		Português			Portugues::Frases
PT - sentir tonturas	sentir tonturas	[sound:_pt_sentir_tonturas.mp3]		Português			Portugues::Frases
PT - estar com sarampo	estar com sarampo	[sound:_pt_estar_com_sarampo.mp3]		Português			Portugues::Frases
PT - máquina de lavar louça	máquina de lavar louça	[sound:_pt_máquina_de_lavar_louça.mp3]		Português			Portugues::Frases
PT - Põe-te a pé!	Põe-te a pé!	[sound:_pt_põe-te_a_pé!.mp3]		Português			Portugues::Frases
PT - mal começou	mal começou	[sound:_pt_mal_começou.mp3]		Português			Portugues::Frases
PT - sem mais nem menos	sem mais nem menos	[sound:_pt_sem_mais_nem_menos.mp3]		Português			Portugues::Frases
PT - fazer-se homem	fazer-se homem	[sound:_pt_fazer-se_homem.mp3]		Português			Portugues::Frases
PT - daquele tempo	daquele tempo	[sound:_pt_daquele_tempo.mp3]		Português			Portugues::Frases
PT - Revolução dos Cravos	Revolução dos Cravos	[sound:_pt_revolução_dos_cravos.mp3]		Português			Portugues::Frases
PT - apesar de eles saberem	apesar de eles saberem	[sound:_pt_apesar_de_eles_saberem.mp3]		Português			Portugues::Frases
PT - O amor é fogo que arde sem se ver... Quanto mais se tenta apagá-lo, mais se acende outra vez	O amor é fogo que arde sem se ver... Quanto mais se tenta apagá-lo, mais se acende outra vez	[sound:_pt_o_amor_é_fogo_que_arde_sem_se_ver..._quanto_mais_se_tenta_apagá-lo,_mais_se_acende_outra_vez.mp3]		Português			Portugues::Frases
PT - Quando a gente acha que tem todas as respostas, vem a vida e muda todas as perguntas	Quando a gente acha que tem todas as respostas, vem a vida e muda todas as perguntas	[sound:_pt_quando_a_gente_acha_que_tem_todas_as_respostas,_vem_a_vida_e_muda_todas_as_perguntas.mp3]		Português			Portugues::Frases
