#separator:tab
#html:true
#tags column:52
tratar de	"<img src=""_tratar_do_jardim.JPG"">"	tratar de ....	tratar de ....	/tɾɐˈtaɾ dɨ ..../	/tɾaˈtaʁ dʒi ..../	exp	Responsabilizar-se por algo ou cuidar de uma tarefa.	Means to care for	take care	/ˈtʰeɪk ˈkʰɛr/	/ˈtʰeɪk ˈkʰeə/	exp	To pay attention to or deal with something or someone responsibly.		cuidar	/kwiˈðaɾ/	/kwiˈðaɾ/	v			traiter		/tʁɛte/		v		behandeln		/bəˈhandl̩n/				tractar						trattare	/tratˈtare/											Portugues::1A2 Portugues::Conjugacao Portugues::Verbos Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Pessoas::Tempo_livre Portugues::1VOC::Verbos Voc::Activities
rede social, redes sociais		rede social	a rede social	/ɐ ˈʁɛdɨ susiˈaɫ/	/a ˈʁɛdʒi sosiˈaw/	sf	Plataforma digital para interação e compartilhamento de conteúdo.	De boca em boca nas redes sociais.&nbsp;<u>o</u> Instagram, <u>o</u> Tik-Tok, o YouTube, <u>o</u> Facebook	social network	/ˈsoʊʃəl ˈnɛtˌwɜ˞k/	/ˈsəʊʃᵊl ˈnetwɜːk/	n	An online platform that allows people to connect, share content, and communicate.		red social						réseau social						soziales Netzwerk						xarxa social						social network												Curso::2A2 Curso::2A2::U4-Nao-Tinhamos-Redes-Sociais Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Voc::Technology::2025
dinheiro (gral)		dinheiro	o dinheiro						money	/ˈməni/	/ˈmʌni/	n	A medium of exchange in the form of coins, banknotes, or digital currency.		dinero						argent						Geld						diners						denaro												Curso::1C1::Vocabulary-Bank::Money English English::Hard_to_Pronounce Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Voc::My_Choice
dar boleia, de boleia	"<img src=""_boleia_carona.JPG"">"	dar boleia, de boleia	dar boleia, de boleia	/ˈdaɾ buˈlɐjɐ/	/ˈdaʁ boˈlejɐ/	exp	Levar alguém de carro gratuitamente (uso comum em Portugal)	Preciso de boleia, alguém que me leve																																											Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Voc::My_Choice
inteiro, inteira		inteiro, inteira	inteiro, inteira	ĩˈtɐjɾu | ĩˈtɐjɾɐ	ĩˈtejɾu | ĩˈtejɾɐ	adj m/f	Completo, sem partes faltando.		whole, entire	ˈhoʊl | ɪnˈtʰaɪə˞	ˈhəʊl | ɪnˈtʰaɪə	adj	Complete, with no missing parts.		entero, entera						entier, entière						ganz						sencer, sencera						intero, intera												Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::U5-Eu-Ja-Tinha-Visto::Madeira::Festival-Flores::Festival-Flores Curso::2A2::vocabulario-clase Portugues::1VOC Portugues::1VOC::Garota-de-Ipanema Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
aguentar	"<img src=""_resist.gif"">"	aguentar	aguentar	ɐɡẽˈtaɾ	aɡẽˈtaʁ	v	"Suportar ou resistir a algo. Com ""A"""	"<img src=""_dame_paciencia_aguentar.JPG""><br>Não sei se vou aguentar"	to endure	tu ɪnˈdʊr	tu ɪnˈdjʊə	v	To withstand or tolerate something.																																						Portugues::1VOC Portugues::1VOC::Musicas::Maria-Joana-Calema-Mariza Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::DONE::Musicas::Mulher-Batida Portugues::1VOC::Tricky Voc::My_Choice
cinto	"<img src=""_cinto_belt.JPG"">"	cinto	o cinto	u ˈsĩtu	u ˈsĩtu	sm	Acessório para segurar roupas ou proteger.		belt	ˈbɛlt	ˈbelt	n	An accessory used for fastening or protection.																																						Portugues::1VOC Portugues::1VOC::DONE::Musicas::Mulher-Batida Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::1VOC::Roupa::Acessórios Voc::Clothing Voc::My_Choice
emprestar, emprestado		emprestar, emprestado						Vou a pedir emprestado a palavra poesia.<br>E os bancos só emprestam a quem não precisa. A mim nem me emprestam pa mudar de camisa																																											English My-Choice Portugues::1VOC::Musicas::Samba-da-Utopia Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Voc::My_Choice
aceitar, aceito		aceitar, aceito	aceitar, aceito					Basta ser honesto e eu aceito propostas																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
aflito, aflita		aflito, aflita	aflito, aflita					"Ainda o mês vai a meio já eu &#x27;tou aflito"																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
apertar, aperte		apertar, aperte	apertar, aperte					Querem que aperte o cinto mas nem calças tenho																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
bolha		bolha	bolha					Mas qualquer dia a bolha rebenta																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
bonito, bonita		bonito, bonita	bonito, bonita					Oh mãe fazias-me era rico em vez de bonito																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
brincadeira		brincadeira	brincadeira					Quero ir para a brincadeira																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
calças		calças	calças					Querem que aperte o cinto mas nem calças tenho																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
combustivel, combustiveis		combustivel, combustiveis	combustivel, combustiveis					Tive que o vender para ter o combustível																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
condição, condições		condição, condições	condição, condições					Não tenho condições nem pa alugar uma tenda																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
da treta		da treta	da treta					Ou num emprego da treta, mal pago																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
em greve		em greve	em greve					Tenho o passe da Carris mas hoje estão em greve																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
empenho		empenho	empenho					Não é por falta de empenho																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
emprego		emprego	emprego					Alguém me arranje emprego																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::Ortografia::G-GU-J
enguiço		enguiço	enguiço					Vou jogar Euromilhões a ver se acaba o enguiço																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
enterrar, enterram		enterrar, enterram	enterrar, enterram					Eles enterram o País o povo aguenta																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
gorjeta		gorjeta	a gorjeta	ɐ ɡuɾˈʒɛtɐ	a ɡoʁˈʒɛtɐ	sf	Pequena quantia de dinheiro dada como gratificação por um serviço prestado.	E receber uma gorjeta que chamam salário	tip	ˈtʰɪp	ˈtʰɪp	n	Small amount of money given as a gratuity for a service.																																						Curso::2A2::U5-Eu-Ja-Tinha-Visto::Cosas-Normais My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC Portugues::Ortografia::G-GU-J
impossível,  impossíveis		impossível,  impossíveis	impossível,  impossíveis					Ter carro é impossível																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
jornal, jornais		jornal, jornais	jornal, jornais					Ouvem-se verdades que não vêm nos jornais																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
mal pago		mal pago	mal pago					Ou num emprego da treta, mal pago																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
meio, meia		meio, meia	meio, meia					"Ainda o mês vai a meio já eu &#x27;tou aflito"																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
otário, otária		otário, otária	otário, otária					Não tirei o Curso Superior de Otário																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
passe da carris		passe da carris	passe da carris					Tenho o passe da Carris mas hoje estão em greve																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
proposta, propostas		proposta, propostas	proposta, propostas					Basta ser honesto e eu aceito propostas																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
qualquer dia		qualquer dia	qualquer dia					Mas qualquer dia a bolha rebenta																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
querem ver pelas costas		querem ver pelas costas	querem ver pelas costas					Os cotas já me querem ver pelas costas																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
rebentar, rebenta		rebentar, rebenta	rebentar, rebenta					Mas qualquer dia a bolha rebenta																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
renda		renda	renda					Onde vou arranjar dinheiro para uma renda?																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
rico, rica		rico, rica	rico, rica					Oh mãe fazias-me era rico em vez de bonito																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
semana		semana	semana					Suei a semana inteira																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
sexta-feira		sexta-feira	sexta-feira					É sexta-feira. Suei a semana inteira																																											English My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
suar, suei		suar, suei	suar, suei					Suei a semana inteira																																											English::2VOC My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
tirar um curso		tirar um curso	tirar um curso					Não tirei o Curso Superior de Otário																																											English::2VOC My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
tostão, tostões 		tostão, tostões 	tostão, tostões 					No bolso não trago um tostão																																											English::2VOC My-Choice Portugues::1VOC Portugues::1VOC::Musicas::Sexta-Feira-Boss-AC
