sotão	<img src="_sotao_buhardilla.JPG">	sotão	o sotão	Espaço localizado sob o telhado, geralmente usado para armazenamento.	sm	attic	Top part of a house, just under the roof, used for storage.	n	buhardilla	la buhardilla		sf		u suˈtɐ̃w̃	u soˈtɐ̃w̃		ˈætɪk	ˈætɪk				grenier						Dachboden						golfes						soffitta													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte My_Mess::Multi Portugues::1A2 Portugues::Falso_Amigo Voc::House::PT-Casa-Quartos
abóbora	<img src="_aboboras_calabazas_pumpkin.JPG">	abóbora	a abóbora	Fruta grande e redonda usada em sopas, doces e outros pratos.	sf	pumpkin	A large, round fruit with orange skin, used in cooking and decoration.	n	calabaza	la calabaza		sf		ɐ ɐˈbɔbuɾɐ	a aˈbɔbuɾɐ		ˈpʰəmpkən	ˈpʰʌmpkɪn				citrouille					/sitʁuj/	Kürbis					/ˈkʏrbɪs/	cabàs						zucca													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Alimentos Portugues::1VOC::Alimentos::Legumes Voc::Food Voc::Food::Vegetables
sino		sino	o sino	Objeto de metal que produz som ao ser batido, geralmente usado em igrejas.	sm	bell	A metal object that makes a ringing sound when struck.	n	campana	la campana	Objeto de metal que emite sonido al ser golpeado, usado en iglesias.	sf	Se o trem descarrila o povo refila e eu fico num sino	u ˈsinu	u ˈsinu		ˈbɛl	ˈbel																																			Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U6-Maria-Da-Fonte Portugues::1VOC::Musicas::Pico-do-7
cansativo, cansativa		cansativo, cansativa	cansativo	Que causa cansaço ou fadiga.	adj m/f	tiring	Causing fatigue or exhaustion. With "T"	adj	cansado					kɐ̃sɐˈtivu	kɐ̃saˈtʃivu	What do you do to relax after a tiring day?	ˈtʰaɪə˞ɹɪŋ	ˈtʰaɪərɪŋ				fatigant						ermüdend						cansat						faticoso													English::2VOC Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte My_Mess::Multi Portugues::1VOC Voc::Travel Voc::Travel::PT-Viajar
castanha, castanhas	<img src="_castanha_castañas.JPG">	castanha, castanhas	a castanha, as castanhas	Semente comestível usada em pratos doces ou salgados.	sf / sfp	chestnut	A glossy brown nut from the chestnut tree.	n	castaña	la castaña, las castañas		sf/sfp		ɐ kɐˈʃtɐɲɐ | ɐʃ kɐˈʃtɐɲɐʃ	a kasˈtɐɲɐ | aʃ kasˈtɐɲas		ˈtʃɛsˌnət	ˈtʃesnʌt				châtaigne					/ʃatɛɲ/	Kastanie					/kasˈtaːni̯ə/	castanya/castanya						chestnut													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Alimentos Portugues::1VOC::Alimentos::Legumes Voc::Food::PT-Nozes Voc::Food Voc::Food::Plant Voc::Food::Vegetables
ceia (jantar especial)		ceia	a ceia	Refeição especial, frequentemente noturna.	sf	special dinner	A festive or special meal, usually at night.	n	cena especial	la cena especial	Comida especial, generalmente celebrada por la noche.	sf		ɐ ˈsɐjɐ	a ˈsejɐ		ˈspɛʃəl ˈdɪnə˞	ˈspeʃᵊl ˈdɪnə				dîner spécial						spezial Abendessen						sopar especial						cena speciale													Curso::2A2 Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U2-Maria-Da-Fonte Portugues::1VOC
colete	<img src="_colete_chaleco_vest.JPG">	colete	o colete	Peça de roupa sem mangas usada sobre a camisa.	sm	vest	A sleeveless garment worn on the upper body.	n	chaleco	el chaleco		sm		u kuˈlɛtɨ	u koˈlɛtʃi		ˈvɛst	ˈvest				gilet / veste					/ʒilɛ | vɛst/	West						armilla/gilet / jaqueta						giacca													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Roupa::de_Cima Voc::Clothing::PT-Roupa
colchas		colchas	as colchas de damasco	Cobertores decorativos colocados sobre a cama, feitos de tecido fino.	sfp	damask bedspreads	Decorative bed covers made from fine fabric.	np	colchas de damasco	las colchas de damasco	Cobertores decorativos hechos de tela fina.	sfp	Colchas ricas nas janelas	ɐʃ ˈkɔɫʃɐʒ dɨ dɐˈmaʃku	aʃ ˈkɔwʃas dʒi dɐˈmasku		ˈdæməsk ˈbɛdˌspɹɛdz	ˈdæməsk ˈbedspredz																																			Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::Musicas::Festa-Na-Moureria
coelho (alimento)	<img src="_coelho.JPG">	coelho	o coelho	Carne de um pequeno mamífero, usada em guisados e assados.	sm	rabbit	A small mammal with long ears, often used as food or kept as a pet.	n	conejo	el conejo		sm		u kuˈɐʎu	u koˈeʎu		ˈɹæbət	ˈræbɪt				lapin					/lapɛ̃/	Kaninchen					/kaˈniːnçən/	conill						coniglio													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Voc::Food::PT-Carne
gravata	<img src="_en_tie.JPG"><img src="_gravata_vermelha.JPG">	gravata	a gravata	Acessório de vestuário masculino usado ao redor do pescoço, geralmente com camisas.	sf	tie	A long piece of cloth worn around the neck.	n	corbata	la corbata		sf		ɐ ɡɾɐˈvatɐ	a ɡɾaˈvatɐ		ˈtʰaɪ	ˈtʰaɪ				la cravate					/la kʁavat/	die Krawatte						la corbata						la cravatta													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U5-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC Voc::Clothing::PT-Roupa
crime, crimes		crime	o crime	Ato ilegal punido pela lei.	sm	crime	Illegal act punishable by law.	n	crimen	el crimen	Acto ilegal castigado por la ley.	sm		u ˈkɾimɨ	u ˈkɾimi		ˈkɹaɪm	ˈkraɪm																																			Curso::2A2::DONE::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes::Pokot Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC Voc::Crime
convés (Naut.)	<img src="_conves_deck.JPG">	convés	o convés	Plataforma superior de um navio.	sm	deck	The upper surface of a ship where people can walk.	n	cubierta	la cubierta	Superficie superior de un barco.	sm		u kõˈvɛʃ	u kõˈvɛs		ˈdɛk	ˈdek				couvercle																															Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U3-Maria-Da-Fonte Portugues::1VOC Voc::Ships
couro	<img src="_casaco_couro.JPG">	couro	o couro	Material obtido da pele de animais, usado para fabricar roupas e acessórios.	sm	leather	Material made from animal hide.	n	cuero	el cuero		sm		u ˈkoɾu	u ˈkoɾu		ˈlɛðə˞	ˈleðə				cuir						Leder						cuero						cuoio													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1VOC Voc::Clothing::PT-Roupa Voc::Clothing::PT-Tecidos
dália (flor)	<img src="_dalia.JPG">	dália	a dália	Flor grande e colorida, originária do México.	sf	dahlia	A bushy, tuberous plant with showy, multi-petaled flowers in various colors.	n	dalia	la dalia	Flor grande, colorida y ornamental originaria de México.	sf		ɐ ˈdaliɐ	a ˈdaliɐ		ˈdæljə	ˈdeɪliə				Dahlia						Dahlie						Dàlia						Dalia													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U5-Maria-Da-Fonte Voc::Flowers::PT-Flores
direito (s.)	<img src="_direito.JPG">	direito	o direito	Privilégio, faculdade ou poder de fazer algo segundo a lei.	sm	right	A legal or moral entitlement.	n	derecho	el derecho	Facultad o prerrogativa de hacer o exigir algo conforme la ley.	sm	não há direito!	u diˈɾɐjtu	u dʒiˈɾejtu		ˈɹaɪt	ˈraɪt				droit						Recht						dret						diritti													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U3-Maria-Da-Fonte Portugues::1VOC Portugues::1VOC::Abstratos
descoberta, descobertas	<img src="Naus_descobertas.jpg">	descobertas	as descobertas	Ato de encontrar algo novo; eventos históricos de exploração.	sfp	discoveries	The act of finding something new; historical exploration events.	n	descubrimientos	los descubrimientos	Acto de encontrar algo nuevo; eventos de exploración históricos.	smp	No cais da nova nau das descobertas	ɐʒ dɨʃkuˈbɛɾtɐʃ	aʒ deskoˈbɛʁtas		dɪˈskəvə˞ɹiz	dɪˈskʌvᵊriz																																			Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::DONE::Musicas::No-Teu-Poema Portugues::1VOC::Musicas::Filha-da-Tuga Voc::My_Choice
rolar		rolar	rolar	Movimentar-se em forma de volta ou queda; deslocar-se girando.	v	scroll	To move up or down a screen to view more content.	v	desplazar	desplazar	Moverse arriba o abajo en una pantalla para ver más contenido.	v		ʁuˈlaɾ	ʁoˈlaʁ		ˈskɹoʊl	ˈskrəʊl				défiler						scrollen						desplaçar						scorrere													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC
íngreme		íngreme	íngreme	Muito empinado; difícil de subir. [Figurado] Árduo, difícil, trabalhoso.	adj	steep	Very inclined; difficult to climb; figuratively, arduous, difficult, laborious.	adj	empinado	empinado	Muy inclinado; difícil de subir o realizar.	adj		ˈĩɡɾɨmɨ	ˈĩɡɾemi		ˈstip	ˈstiːp																																			Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U2-Maria-Da-Fonte Portugues::Adjetivos::invariavels Voc::Travel::PT-Viajar
escadaria		escadaria	a escadaria	Conjunto grande de degraus, geralmente em locais públicos ou monumentos.	sf	staircase			escalera					ɐ ʃkɐdɐˈɾiɐ	a iskadaˈɾiɐ		ˈstɛrˌkeɪs	ˈsteəkeɪs				escalier						Treppe						escala						scalinata													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U1-Maria-Da-Fonte My_Mess::Multi Portugues::1VOC::2A2::U6-Achas-Estou-Em-Forma
palco		palco	o palco	Plataforma elevada onde se realizam representações teatrais ou apresentações.	sm	stage	A raised floor or platform for performances.	n	escenario	el escenario	Estructura elevada donde se realizan representaciones.	sm	<img src="_palco_teatral.JPG">	u ˈpaɫku	u ˈpawku		ˈsteɪdʒ	ˈsteɪdʒ				scène						Bühne						escenari						palco													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::Falso_Amigo Voc::Theater::PT-Teatro
feliz		feliz	o feliz	Que sente ou demonstra felicidade; contente, satisfeito.	adj m	happy	Feeling or showing contentment or joy.	adj	feliz	el feliz		adj m		u fɨˈliʃ	u feˈliʃ		ˈhæpi	ˈhæpi				heureux					/øʁø/	glücklich						feliç						felice					felice								Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC Portugues::1VOC::Animais Portugues::1VOC::Personalidade Portugues::1VOC::Pessoas::Descripçao Portugues::Adjetivos Portugues::Mesma-palavra-em-Espanhol Voc::Animals Voc::Animals::PT-Animais Voc::People::Description Voc::Personality
galinha		galinha	a galinha	Ave doméstica cuja carne é muito consumida.	sf	hen	A mature female chicken.	n	gallina	la gallina		sf		ɐ ɡɐˈliɲɐ	a ɡaˈliɲɐ		ˈhɛn	ˈhen				poule						Huhn						gallina						gallina													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Voc::Chickens Voc::Food::PT-Carne-Ave
pingo	<img src="_pingo.JPG">	pingo	o pingo	pequena gota de líquido	sm	drop	A small amount of liquid.	n	gota	la gota	Pequeña cantidad de líquido.	sf		u ˈpĩɡu	u ˈpĩɡu		ˈdɹɑp	ˈdrɒp				goutte						Tropfen						gota						goccia													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1VOC Portugues::1VOC::2A2::vocabulario-clase Portugues::1VOC::Agua Portugues::1VOC::Musicas::Aguas-de-Marco Voc::Geo::Water
grão, grãos	<img src="_areia_.JPG"><img src="_graos.JPG">	grão	o grão	Semente ou partícula pequena e dura.	sm	seed	A small, hard part of a plant that can grow into a new plant.	n	grano	el grano	Semilla pequeña y dura de una planta.	sm		u ˈɡɾɐ̃w̃	u ˈɡɾɐ̃w̃		ˈsid	ˈsiːd				grain						Korn						gra						grano													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::Alimentos Voc::Food Voc::Food::Vegetables
grunhido		grunhido	o grunhido	Som rouco e baixo emitido por certos animais.	sm	grunt	What sound do pigs make?	v	grunido					u ɡɾuˈɲidu	u ɡɾuˈɲidu	The pigs grunted and everybody laughed.	ˈɡɹənt	ˈɡrʌnt				grognement						Grunzen						gruixit						grugnito													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Voc::Animals::PT-Animais
farto, farta		farto, farta	o farto / a farta	Que sente repulsa ou cansaço por algo repetitivo ou desgastante.	adj m, adj f	weary	Feeling tired of something repetitive or exhausting.	adj	harto / harta	harto / harta	Que siente cansancio o rechazo hacia algo repetitivo.	adj m, adj f	Que estás farta das humilhações	u ˈfaɾtu | ɐ ˈfaɾtɐ	u ˈfaʁtu | a ˈfaʁtɐ		ˈwɪri	ˈwɪəri																																			Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U5-Maria-Da-Fonte Portugues::1VOC Portugues::1VOC::Musicas::Fazer-um-Gaudi
figo, figos	<img src="_higo_fig_figo.jpg">	figo, figos	o figo, os figos	Fruta doce de casca fina e polpa macia.	sm	sweet fig	Sweet and soft-skinned fruit, often eaten fresh or dried.	n	higo	el higo, los higos		sm		u ˈfiɡu | uʃ ˈfiɡuʃ	u ˈfiɡu | uʃ ˈfiɡus		ˈswit ˈfɪɡ	ˈswiːt ˈfɪɡ				figue					/fiɡ/	Feige					/ˈfaɪ̯ɡə/	figa						fico													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U3-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC::Alimentos::Legumes Voc::Food::PT-Frutas
fio		fio	o fio	Elemento fino, alongado e flexível, como um arame ou linha. Com "f"	sm	thread	A thin, flexible strand of material.	n	hilo	el hilo	Elemento fino y flexible, como un alambre o una cuerda.	sm		u ˈfiu	u ˈfiu		ˈθɹɛd	ˈθred				fil						Faden						fil						filo													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC Portugues::1VOC::Roupa
ourivesaria	<img src="_ouriversaria.JPG">	ourivesaria	a ourivesaria	Loja onde se vendem ou fabricam joias.	sf	jewelry store	A store where jewelry is sold or crafted.	n	joyería	la joyería		sf		ɐ oɾivɨzɐˈɾiɐ	a oɾivezaˈɾiɐ		ˈdʒulɹi ˈstɔr	ˈdʒuːəlri ˈstɔː				joyería	la joyería				Establecimiento donde se venden o fabrican joyas.	Juwelier					/juveˈliːɐ̯/	joieria						gioielleria					/dʒojelleˈria/								Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC Portugues::1VOC::Cidade::Locais Voc::City Voc::Work_n_Career::Workplace
lã	<img src="_lana_la_wool.JPG">	lã	a lã	Fibra natural obtida de ovelhas, usada para fazer tecidos.	sf	wool	Fiber from sheep used for textiles.	n	lana	la lana		sf		ɐ ˈlɐ̃	a ˈlɐ̃		ˈwʊl	ˈwʊl				laine						Wolle						llana						lana													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U5-Maria-Da-Fonte Portugues::1A2 Voc::Clothing::PT-Roupa Voc::Clothing::PT-Tecidos
leito	<img src="_leito.JPG">	leito	o leito	Cama ou superfície para descansar ou dormir.	sm	bed			lecho					u ˈlɐjtu	u ˈlejtu		ˈbɛd	ˈbed				lit						Bett						llit						letto													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::Musicas::Dor-de-Cotovelo Voc::Beds-Pillows-Blankets::PT-Camas-Lencos
vagarosamente		vagarosamente	vagarosamente	De forma lenta ou pausada. Com "v"	adv	slowly	In a slow manner; not quickly.	adv	lentamente	lentamente	De manera lenta o pausada.	adv		vɐɡɐɾuzɐˈmẽtɨ	vaɡaɾozɐˈmẽtʃi		ˈsloʊli	ˈsləʊli				lentement						langsam						vagorosament						lentamente													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::Adverbios
lebre (alimento)	<img src="_liebre.JPG">	lebre	a lebre	Mamífero cuja carne é usada em pratos tradicionais.	sf	hare	A fast-running mammal similar to a rabbit.	n	liebre	la liebre	Mamífero de gran velocidad, parecido al conejo.	sf		ɐ ˈlɛbɾɨ	a ˈlɛbɾi		ˈhɛr	ˈheə				lièvre						Hase						llebre						lepre													Livros::2A2-Misterio-da-Maria-Da-Fonte Portugues::1A2 Voc::Food::PT-Carne
linho	<img src="_calcas_linho.JPG">	linho	o linho	Fibra natural usada para fabricar tecidos leves.	sm	linen	Fabric made from flax plant fibers.	n	lino	el lino		sm		u ˈliɲu	u ˈliɲu		ˈlɪnən	ˈlɪnɪn				lin						Leinen						lli						lin													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC Voc::Clothing::PT-Roupa Voc::Clothing::PT-Tecidos
luar, luares	<img src="_luar.JPG">	luar, luares	os luares	Luzes e reflexos da lua, especialmente poéticos ou simbólicos.	smp	moonlights	Lights and reflections of the moon, especially poetic or symbolic.	n	luz de la luna	la luz de la luna	Reflejos y luces de la luna, de forma poética.	sf	Entre os luares perdidos no chão	uʒ luˈaɾɨʃ	uʒ luˈaɾes		ˈmunˌlaɪts	ˈmuːnlaɪts				clartés lunaires						Mondlichter						llums de lluna						luci lunari													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::DONE::Musicas::Tatuagens Voc::My_Choice Voc::Night
emfiado, emfiada (metido)	<img src="_enfiado.JPG">	enfiado, enfiada	enfiado, enfiada	Que está metido ou inserido em algo.	adj m, adj f	stuck	That is inserted or embedded in something.	adj	metido, metida	metido, metida	Que está introducido o inmerso en algo.	adj m, adj f		ẽfiˈadu | ẽfiˈadɐ	ẽfiˈadu | ẽfiˈadɐ		ˈstək	ˈstʌk				coincé						feststeckend						encaixat						infilato													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte My_Mess::Multi Portugues::1VOC Portugues::1VOC::2A2::U6-Achas-Estou-Em-Forma
móveis	<img src="_móveis_02.JPG">	móveis	os móveis	Objetos que compõem a mobília de uma casa ou escritório.	smp	furniture	Objects that furnish a house or office.	np	muebles	los muebles		smp		uʒ ˈmɔvɐjʃ	uʒ ˈmɔvejs		ˈfɜ˞nɪtʃə˞	ˈfɜːnɪtʃə				muebles	los muebles				Objetos que forman el mobiliario de una casa u oficina.	Möbel						mobles						mobili													Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1A2 Portugues::1VOC Portugues::1VOC::Casa::Móveis Voc::House
multidão	<img src="_multidao.JPG">	multidão	a multidão	Grande grupo de pessoas reunidas.	sf	crowd	A large group of people gathered closely together.	n	multitud	la multitud				ɐ muɫtiˈdɐ̃w̃	a muwtʃiˈdɐ̃w̃		ˈkɹaʊd	ˈkraʊd				foule						Menge						multitud						gente													Curso::2A2 Livros::2A2-Cinco-minutos Livros::2A2-Misterio-da-Maria-Da-Fonte::Maria-Da-Fonte::U4-Maria-Da-Fonte Portugues::1VOC::Musicas::Inquieta-Carolina-Deslandes Voc::City Voc::People::PT-Pessoas
