ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_PT	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Tags
Pode repetir?		Pode repetir?	Pode repetir?	/ˈpɔ.dɨ ʁɨ.pɨ.ˈt͡ʃiɾ/	/ˈpɔ.dɨ ʁe.pi.ˈtiʁ/	exp			Can you repeat?						¿Puede repetir?						Pouvez-vous répéter ?						Können Sie das wiederholen?						Podeu repetir?						Puoi ripetere?												Portugues::Curso::1A2 Portugues::Frases::Basicas
Como se escreve?		Como se escreve?	Como se escreve?	/ˈkɔ.mu sɨ ɨʃ.ˈkɾɛ.vɨ/	/ˈkɔ.mu se ɨʃ.ˈkɾɛ.vi/	exp			How is it spelled?						¿Cómo se escribe?						Comment ça s&#x27;écrit ?						Wie schreibt man das?						Com es escriu?						Come si scrive?												Portugues::Curso::1A2 Portugues::Frases::Basicas
Como se diz?		Como se diz?	Como se diz?	/ˈkɔ.mu sɨ ˈdiʃ/	/ˈkɔ.mu se ˈdiz/	exp			How do you say?						¿Cómo se dice?						Comment ça se dit ?						Wie sagt man das?						Com es diu?						Come si dice?												Portugues::Curso::1A2 Portugues::Frases::Basicas
O que significa?		O que significa?	O que significa?	/u kɨ siɡ.ˈni.fi.kɐ/	/u ke siɡ.ˈni.fi.ka/	exp			What does it mean?						¿Qué significa?						Que signifie ?						Was bedeutet das?						Què significa?						Cosa significa?												Portugues::Curso::1A2 Portugues::Frases::Basicas
Bem-vindo!, Bem-vinda!		Bem-vindo!, Bem-vinda!	Bem-vindo!, Bem-vinda!	/bẽ.vĩ.ˈdu/, /bẽ.vĩ.ˈda/	/bẽ.vĩ.ˈdu/, /bẽ.vĩ.ˈda/	exp			Welcome! (o=male, a=female)						¡Bienvenido! (masculino), ¡Bienvenida! (femenino)						Bienvenue !						Willkommen!						Benvingut! Benvinguda!						Benvenuto! Benvenuta!												Portugues::Curso::1A2 Portugues::Frases::Basicas
Bom apetite!		Bom apetite!	Bom apetite!	/bõ ɐ.pɨ.ˈtitɨ/	/bõ a.pi.ˈt͡ʃi.t͡ʃi/	exp			Enjoy your meal!						¡Buen provecho!						Bon appétit !						Guten Appetit!						Bon profit!						Buon appetito!												Portugues::Curso::1A2 Portugues::Frases::Basicas
Boa sorte!		Boa sorte!	Boa sorte!	/bu.ɐ ˈsɔɾ.tɨ/	/bo.ɐ ˈsɔɾ.t͡ʃi/	exp	This expression is used to wish someone good luck, similar to saying &quot;Good luck!&quot; in English.		Good luck!						¡Buena suerte!						Bonne chance !						Viel Glück!						Bona sort!						Buona fortuna!												Portugues::Curso::1A2 Portugues::Frases::Basicas
Muito obrigado, Muito obrigada		Muito obrigado, Muito obrigada	Muito obrigado, Muito obrigada	/ˈmwitu u.bɾi.ˈɡa.du/, /ˈmwitu u.bɾi.ˈɡa.dɐ/	/ˈmwitu u.bri.ˈɡa.du/, /ˈmwitu u.bri.ˈɡa.dɐ/	exp			Thank you very much (o=male, a=female)						Muchas gracias (masculino), Muchas gracias (femenino)						Merci beaucoup						Vielen Dank						Moltes gràcies						Grazie mille												Portugues::Curso::1A2 Portugues::Frases::Basicas
Como se chama?		Como se chama?	Como se chama?	/ˈkɔ.mu sɨ ˈʃɐ.mɐ/	/ˈkɔ.mu se ˈʃã.ma/	exp			What&#x27;s your name?						¿Cómo te llamas?						Comment tu t&#x27;appelles ?						Wie heißt du?						Com et dius?						Come ti chiami?												Portugues::Curso::1A2 Portugues::Frases::Basicas
Chamo-me		Chamo-me	Chamo-me	/ˈʃɐ.mu ˈmɨ/	/ˈʃɐ.mu ˈmi/	exp			My name is						Me llamo						Je m&#x27;appelle						Ich heiße						Em dic						Mi chiamo												Portugues::Curso::1A2 Portugues::Frases::Basicas
Onde mora?		Onde mora?	Onde mora?	/ˈɔ̃.dɨ ˈmo.ɾɐ/	/ˈõ.d͡ʒi ˈmo.ɾɐ/	exp			Where do you live?						¿Dónde vives?						Où habites-tu ?						Wo wohnst du?						On vius?						Dove abiti?												Portugues::Curso::1A2 Portugues::Frases::Basicas
Com licença		Com licença	Com licença	/kõ li.ˈsen.sɐ/	/kõ li.ˈsen.sɐ/	exp			Excuse me						Con permiso						Excusez-moi						Entschuldigen Sie						Amb permís						Mi scusi												Portugues::Curso::1A2 Portugues::Frases::Basicas
Não faz mal!		Não faz mal!	Não faz mal!	/nɐ̃w̃ fɐʃ ˈmaɫ/	/nɐ̃w̃ faʃ ˈmau̯/	exp			It doesn&#x27;t matter!						No importa						Ça ne fait rien						Das macht nichts						No passa res						Non importa!												Portugues::Curso::1A2 Portugues::Frases::Basicas
Por favor poderia . . .		Por favor poderia . . .	Por favor poderia . . .	/pɔɾ fa.ˈvoɾ pu.ˈde.ɾi.ɐ/	/poɾ fa.ˈvoʁ po.ˈde.ɾi.ɐ/	exp			Could you please...						¿Podría por favor...?						Pourriez-vous s&#x27;il vous plaît... ?						Könnten Sie bitte...?						Podrieu per favor...?						Potresti per favore...?												Portugues::Curso::1A2 Portugues::Frases::Basicas
Com certeza		Com certeza	Com certeza	/kõ sɨɾ.ˈte.zɐ/	/kõ seʁ.ˈte.zɐ/	exp			Certainly						Por supuesto						Bien sûr						Sicher						Segurament						Certamente												Portugues::Curso::1A2 Portugues::Frases::Basicas
Até amanhã		Até amanhã	Até amanhã			exp			See you tomorrow						Hasta mañana						À demain						Bis morgen						Fins demà						A domani												Portugues::Curso::1A2 Portugues::Frases::Basicas
Até a vista!		Até a vista!	Até a vista!			exp			Until we meet again!						¡Hasta la vista!						Au revoir !						Auf Wiedersehen!						Fins a la vista!						Alla vista!												Portugues::Curso::1A2 Portugues::Frases::Basicas
Um bocadinho		Um bocadinho	Um bocadinho			exp			A little bit						Un poquito						Un peu						Ein bisschen						Una mica						Un pochino												Portugues::Curso::1A2 Portugues::Frases::Basicas
Ainda não		Ainda não	Ainda não			exp			Not yet						Todavía no						Pas encore						Noch nicht						Encara no						Non ancora												Portugues::Curso::1A2 Portugues::Frases::Basicas
Muitas felicidades!		Muitas felicidades!	Muitas felicidades!			exp	É usada para desejar felicidade e bem-estar a alguém, especialmente no contexto de ocasiões especiais como casamentos, aniversários ou outros eventos significativos na vida. É comumente usada para desejar a alguém uma vida feliz e realizada no futuro.	Enquanto &quot;Muitas felicidades!&quot; foca mais no bem-estar geral e na felicidade do indivíduo, &quot;Muitos parabéns!&quot; é dirigido especificamente ao reconhecimento e celebração de uma conquista ou marco específico.	Many happy returns!						Muchas felicidades						Beaucoup de bonheur						Alles Gute zum Geburtstag!						Moltes felicitats!						Tanti auguri!												Portugues::Curso::1A2 Portugues::Frases::Basicas Portugues::Frases::Formular_Votos
Muitos parabéns!		Muitos parabéns!	Muitos parabéns!			exp	Esta expressão é usada para felicitar alguém por uma conquista ou por uma ocasião especial, como um aniversário, uma formatura ou uma promoção no trabalho. It is similar to saying &quot;Many congratulations!&quot; in English.	Enquanto &quot;Muitas felicidades!&quot; foca mais no bem-estar geral e na felicidade do indivíduo, &quot;Muitos parabéns!&quot; é dirigido especificamente ao reconhecimento e celebração de uma conquista ou marco específico.	Congratulations!						¡Felicidades!						Félicitations !						Herzlichen Glückwunsch!						Moltes felicitats!						Congratulazioni!												Portugues::Curso::1A2 Portugues::Frases::Basicas Portugues::Frases::Formular_Votos
Parabéns!		Parabéns!	Parabéns!			exp	Similar to saying &quot;Congratulations!&quot; in English.		Congratulations!						¡Enhorabuena!						Félicitations !						Herzlichen Glückwunsch!						Felicitats!						Congratulazioni!												Portugues::Curso::1A2 Portugues::Frases::Basicas Portugues::Frases::Formular_Votos
Feliz Natal!		Feliz Natal!	Feliz Natal!			exp	This phrase is used to wish someone a Merry Christmas during the Christmas holiday season.		Merry Christmas!						¡Feliz Navidad!						Joyeux Noël !						Frohe Weihnachten!						Bon Nadal!						Buon Natale!												Portugues::Curso::1A2 Portugues::Frases::Basicas Portugues::Frases::Formular_Votos
As melhoras!		As melhoras!	As melhoras!			exp	This phrase is used to wish someone a quick recovery when they are feeling unwell or are in poor health. It translates to &quot;Get well soon!&quot; in English.		Get well soon!						¡Que te mejores!						Bon rétablissement !						Gute Besserung!						Que millories!						Guarisci presto!												Portugues::Curso::1A2 Portugues::Frases::Basicas Portugues::Frases::Formular_Votos
Boas entradas!		Boas entradas!	Boas entradas!			exp	Esta frase é usada durante o período de Ano Novo para desejar a alguém um bom começo de ano.	Similar to saying &quot;Happy New Year!&quot; in English.	Happy New Year!						¡Felices entradas!						Bonnes entrées						Gutes Neues Jahr!						Bona entrada!						Felice anno nuovo!												Portugues::Curso::1A2 Portugues::Frases::Basicas Portugues::Frases::Formular_Votos
haja o que houver						exp			come what may						pase lo que pase						quoi qu&#x27;il arrive	quoi qu&#x27;il arrive	/kwɑ k‿il a.ʁiv/	exp			was auch passiert / egal, was passiert		/vas aʊx paˈsɪʁt/ , /ˈeːɡal vas paˈsɪʁt/	exp			passi el que passi						qualunque cosa												Portugues::Curso::1A2 Portugues::Frases::Basicas
tem que ter						exp			must have						tiene que tener						doit avoir	doit avoir	/dwa avwaʁ/	exp			muss haben		/mʊs ˈhaːbən/	exp			ha de tindre						deve avere												Portugues::Curso::1A2 Portugues::Frases::Basicas
como é que faz						exp			how to do it						cómo se hace						comment faire	comment faire	/kɔ.mɑ̃ fɛʁ/	exp			wie macht man es		/viː maxt man ɛs/	exp			com es fa						come si fa												Portugues::Curso::1A2 Portugues::Frases::Basicas
adianta						exp			it's worth it						vale la pena						ça vaut le coup	ça vaut le coup	/sa vo lə ku/	exp			es lohnt sich		/ɛs lɔnt zɪç/	exp			val la pena						ne vale la pena												Portugues::Curso::1A2 Portugues::Frases::Basicas
