ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
lençol, lençóis (cama)	<img src="_lençol_sabana_bedsheet.JPG">	lençol, lençóis	o lençol, os lençóis	/u lẽˈsɔɫ | uʒ lẽˈsɔjʃ/	/u lẽˈsɔw | uʒ lẽˈsɔjs/	sm / smp	Peça de tecido usada para cobrir a cama.		sheet, sheets (bed)	/ˈʃit | ˈʃits | ˈbɛd |/	/ˈʃiːt | ˈʃiːts | ˈbed |/	n/nfp	A piece of fabric used to cover a mattress.		sábana, sábanas (cama)						drap, draps (lit)						Bettlaken, Bettlaken (Bett)						llençol, llençols (llit)						lenzuolo, lenzuola (letto)												Portugues::Curso::1A2 Portugues::Vocabulario::Casa Portugues::Vocabulario::Casa::Quarto_de_Dormir Portugues::Vocabulario::Casa::Tarefas_domésticas::Roupa_de_cama Vocabulary::House
espanhol, espanhola		espanhol, espanhola	o espanhol, a espanhola	/u ʃpɐˈɲɔɫ | ɐ ʃpɐˈɲɔlɐ/	/u ispɐˈɲɔw | a ispɐˈɲɔlɐ/	sm / sf	Referente à pessoa oriunda da Espanha.		Spanish	/ˈspænɪʃ/	/ˈspænɪʃ/	adj	Relating to Spain, its people, or language.		español, española	/espaˈɲol/, /espaˈɲola/		adjm, adjf			espagnol, espagnole			/ɛspaɲɔl/			Spanier, Spanierin						espanyol, espanyola						spagnolo, spagnola												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
estômago	<img src="_estomago_2.jpeg">	estômago	o estômago	/u ˈʃtomɐɡu/	/u isˈtomaɡu/	sm	Órgão onde ocorre a digestão inicial dos alimentos.		stomach	/ˈstəmək/	/ˈstʌmək/	n	The organ in the body where digestion begins.		estómago						estomac						Magendarm						estómac						stomaco												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Iterno Portugues::Vocabulario::Saude Vocabulary::Body
dor de estômago	<img src="_stomach_ache.jpg">	dor de estômago	a dor de estômago	/ɐ ˈdoɾ dɨ ˈʃtomɐɡu/	/a ˈdoʁ dʒi isˈtomaɡu/	sf	Desconforto ou dor na região do estômago.		stomach pain	/ˈstəmək ˈpʰeɪn/	/ˈstʌmək ˈpʰeɪn/	n	A discomfort or ache in the stomach area.		dolor de estómago						douleur d'estomac						Bauchschmerzen						dolor d'estómac						dolore di stomaco												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Portugues::Vocabulario::Saude Vocabulary::Health
sueco, sueca		sueco, sueca	o sueco, a sueca	/u suˈɛku | ɐ suˈɛkɐ/	/u suˈɛku | a suˈɛkɐ/	sm / sf	Referente à pessoa natural da Suécia.		Swedish	/ˈswidɪʃ/	/ˈswiːdɪʃ/	adj	Relating to Sweden, its people, or language.		sueco, sueca	/&#x27;sweko/, /&#x27;sweka/		adjm, adjf			suédois, suédoise			/sɥedwa/, /sɥedwaz/			Schwede, Schwedin						suec, sueca						svedese												Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
dentes	<img src="_en_teeth.JPG">	dentes	os dentes	/uʒ ˈdẽtɨʃ/	/uʒ ˈdẽtes/	smp	Estruturas ósseas na boca usadas para mastigar alimentos.		teeth	/ˈtʰiθ/	/ˈtʰiːθ/	np	The hard, bony structures in the mouth used for biting and chewing.		dientes						dents						Zähne						dents						denti												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Vocabulary::Body
tendões	<img src="tendon.JPG">	tendões	os tendões	/uʃ tẽˈdõj̃ʃ/	/uʃ tẽˈdõj̃s/	smp	Estruturas que conectam os músculos aos ossos.		tendons	/ˈtʰɛndənz/	/ˈtʰendənz/	np	Fibrous tissue that connects muscles to bones.		tendones						tendons						Sehnen						tendons						tendini												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Iterno Vocabulary::Body
garganta	<img src="_garganta.JPG">	garganta	a garganta	/ɐ ɡɐɾˈɡɐ̃tɐ/	/a ɡaʁˈɡɐ̃tɐ/	sf	Parte do corpo usada para deglutir e respirar.		throat	/ˈθɹoʊt/	/ˈθrəʊt/	n	The passage in the neck that connects the mouth to the stomach and lungs.		garganta						gorge						Kehle						gola						gola												Portugues::Curso::1A2 Portugues::Vocabulario::Corpo Portugues::Vocabulario::Corpo::Cabeça Portugues::Vocabulario::Saude Vocabulary::Body
timorense		timorense	o/a timorense	/ˈɔɐ timuˈɾẽsɨ/	/ˈɔɐ tʃimoˈɾẽsi/	s m/f	Pessoa natural de Timor-Leste.		Timorese	/tiˌmɔˈɹiz/	/ˌtiːmɔːˈriːz/	adj	Relating to East Timor, its people, or culture.		timorense	/timu&#x27;ɾense/		adj m/f			timorais						Timorer						timorenc, timorenca						timorense												Lugares::Lusofonos Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Nacionalidade Vocabulary::Nationality Vocabulary::People::Nationality
assoar-se	<img src="_precisar_lenços_tissues.JPG">	assoar-se	assoar-se	/ɐsuˈaɾsɨ/	/asoˈaʁsi/	v	Limpar o nariz usando um lenço ou papel.		to blow one's nose	/tə ˈbloʊ ˈwənz ˈnoʊz/	/tə ˈbləʊ ˈwʌnz ˈnəʊz/	exp	To clear the nose of mucus by exhaling forcefully through it.		sonarse						se moucher						sich schnäuzen						sonar-se						soffiarsi il naso												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Portugues::Vocabulario::Saude Vocabulary::Health
ter febre	<img src="_ter_febre.JPG">	ter febre	ter febre	/ˈteɾ ˈfɛbɾɨ/	/ˈteʁ ˈfɛbɾi/	exp	Estar com a temperatura corporal elevada.		to have a fever	/tə həv ə ˈfivə˞/	/tə həv ə ˈfiːvə/	exp	To experience an elevated body temperature due to illness.		tener fiebre						avoir de la fièvre						Fieber haben						tenir febre						avere la febbre												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Portugues::Vocabulario::Saude::Sintomas Portugues::Vocabulario::Saude Vocabulary::Health
magoar-se	<img src="_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG">	magoar-se	magoar-se	/mɐɡuˈaɾsɨ/	/maɡoˈaʁsi/	v	Ficar ferido ou sofrer um dano físico.		to hurt oneself	/tə ˈhɜ˞t ˌwənˈsɛlf/	/tə ˈhɜːt ˌwʌnˈself/	exp	To cause injury or harm to one's own body.		lastimarse (con "m")						se blesser						sich verletzen						ferir-se						ferirsi												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude Vocabulary::Health
espirrar	<img src="_espirrar.gif">	espirrar	espirrar	/ʃpiˈʁaɾ/	/ispiˈʁaʁ/	v	Expulsar ar do nariz e da boca de forma involuntária.		to sneeze	/tə ˈsniz/	/tə ˈsniːz/	exp	To expel air forcibly through the nose and mouth, often due to irritation.		estornudar						éternuer						niesen						esternudar						starnutire												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
para apanhar sol precisa de protetor solar	<img src="_protetor_solar.JPG">	para apanhar sol precisa de protetor solar	para apanhar sol precisa de protetor solar	/pɐɾɐ ɐpɐˈɲaɾ ˈsɔɫ pɾɨˈsizɐ dɨ pɾutɨˈtoɾ suˈlaɾ/	/paɾɐ apɐˈɲaʁ ˈsɔw pɾeˈsizɐ dʒi pɾoteˈtoʁ soˈlaʁ/	exp	Recomendação para usar na pele ao expor-se ao sol.		to sunbathe needs sunscreen	/tə ˈsənˌbeɪð ˈnidz ˈsənˌskɹin/	/tə ˈsʌnbeɪð ˈniːdz ˈsʌnskriːn/	exp	To expose oneself to the sun for tanning while applying sunscreen for protection.		para tomar el sol necesita protector solar						pour bronzer a besoin de crème solaire						um sich zu sonnen, braucht Sonnenschutz						fer-se necessitar protecció solar						per prendere il sole serve la crema solare												Portugues::Curso::1A2 Portugues::Frases Portugues::Vocabulario::Actividades::Praia Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Portugues::Vocabulario::Saude Vocabulary::Health
torceu um pé	<img src="_torceu_um_pe.JPG">	torceu um pé	torceu um pé	/tuɾˈsew ˈũ ˈpɛ/	/toʁˈsew ˈũ ˈpɛ/	exp	Expressão que indica que alguém sofreu uma torção no pé.		twisted a foot	/ˈtwɪstəd ə ˈfʊt/	/ˈtwɪstɪd ə ˈfʊt/	exp	To injure the foot by turning it awkwardly.		se torció un pie						s'est tordu un pied						hat sich den Fuß verdreht						s'ha torçat un peu						ha storto un piede												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
muito inchado	<img src="_inchado.JPG">	muito inchado	muito inchado	/ˈmũjtu ĩˈʃadu/	/ˈmũjtu ĩˈʃadu/	exp	Referente a algo que está visivelmente inflamado.		very swollen	/ˈvɛri ˈswoʊlən/	/ˈveri ˈswəʊlən/	adj	Describes a body part that is enlarged due to injury or infection.		muy hinchado						très enflé						sehr geschwollen						molt inflat						molto gonfio												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
anda com yeso	<img src="_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG">	anda com yeso	anda com yeso	/ˈɐ̃dɐ ˈkõ ˈɛzu/	/ˈɐ̃dɐ ˈkõ ˈɛzu/	exp	Referente a usar gesso para imobilizar uma fratura.		walk with a cast	/ˈwɔk ˈwɪθ ə ˈkʰæst/	/ˈwɔːk wɪð ə ˈkʰɑːst/	exp	To move around while wearing a protective cast on a limb.		anda con yeso						marcher avec un plâtre						mit einem Gips laufen						camina amb guix						cammina con il gesso												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude::Tratamento Portugues::Vocabulario::Saude Vocabulary::Health
feridas	<img src="_feridas.JPG">	feridas	as feridas	/ɐʃ fɨˈɾidɐʃ/	/aʃ feˈɾidas/	sfp	Lesões abertas na pele ou nos tecidos.		wounds	/ˈwundz/	/ˈwuːndz/	np	Injuries where the skin is cut or broken.		heridas						blessures						Wunden						ferides						ferite												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Feridas Portugues::Vocabulario::Saude Vocabulary::Health
precisas lenços	<img src="_precisar_lenços.JPG">	precisas lenços	precisas lenços	/pɾɨˈsizɐʒ ˈlẽsuʃ/	/pɾeˈsizas ˈlẽsus/	exp	Frase usada para sugerir que alguém use lenços.		you need tissues	/jə ˈnid ˈtʰɪʃuz/	/jə ˈniːd ˈtʰɪʃuːz/	exp	You require soft paper for wiping the nose or face.		necesitas pañuelos						tu as besoin de mouchoirs						du brauchst Taschentücher						necessites mocadors						hai bisogno di fazzoletti												Portugues::Curso::1A2 Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Tratamento Portugues::Vocabulario::Saude Vocabulary::Health
