#separator:tab
#html:true
#tags column:52
trabalhador,a (personalidade	"<img src=""Eren Working.gif"">"	trabalhador, trabalhadora	trabalhador, trabalhadora	/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/ tɾabaʎaˈdoʁ | tɾabaʎaˈdɔɾɐ /	adj m, adj f	Que se dedica com esforço ao trabalho.	"<img src=""Eren Working.gif"">"	hardworking	/ˈhɑrdˈwɜ˞kɪŋ/		adj	Putting in a lot of effort or diligence.		trabajador, trabajadora	/feˈlis/		adj m/f.			travailleur, travailleuse		/tʁavajœʁ | tʁavajøz/				fleißig						treballador, treballadora						lavoratore, lavoratrice												Curso::1A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
sensível (personalidade)	"<img src=""_sensible.JPG"">"	sensível	sensível	/sẽˈsivɛɫ/	/sẽˈsivɛw/	adj m/f	Que tem grande percepção emocional e reage com empatia.		sensitive	/ˈsɛnsətɪv/	/ˈsensɪtɪv/	adj	Quick to detect or respond to changes or feelings.		sensible							sensible						sensibel						sensible						sensibile											Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Adjetivos::invariavels Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
tranquilo, tranquila (personalidade)		tranquilo, tranquila	tranquilo, tranquila	/tɾɐ̃.ˈki.ɫu/ ,  /tɾɐ̃.ˈki.ɫɐ/	/ tɾɐ̃ˈkilu | tɾɐ̃ˈkilɐ /	adj m , adj f	Que é calmo ou sereno.		tranquil	/ˈtɹæŋkwəl/	/ˈtræŋkwɪl/	adj	Free from disturbance or calm.		tranquilo							tranquille						ruhig						tranquil						tranquillo											Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos Portugues::Livros::1A2_O_Alienista Portugues::VOC Portugues::VOC::Personalidade Vocabulary::People::Description Vocabulary::Personality
otimista		otimista	otimista	/u otiˈmiʃtɐ | ɐ otiˈmiʃtɐ/	/u otʃiˈmistɐ | a otʃiˈmistɐ/	adj m/f	Pessoa que espera o melhor em qualquer situação.	"<img src=""Pieck_04.JPG"">"	optimist	/ˈɑptəmɪst/	/ˈɒptɪmɪst/	adj	Someone that tends to be hopeful and confident about the future or the success of something.		optimista							optimiste						Optimist						optimista						ottimista											Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
amigável (personalidade)		amigável	amigável	/ɐmiˈɡavɛɫ/	/ɐmiˈɡavɛw/	adj m/f	Que demonstra amizade, simpatia e gentileza.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
confiável (personalidade)		confiável	confiável	/kõfiˈavɛɫ/	/kõfiˈavɛw/	adj m/f	Que inspira confiança e cumpre suas responsabilidades.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
responsável (personalidade)		responsável	responsável	/ʁɨʃpõˈsavɛɫ/	/ʁespõˈsavɛw/	adj m/f	Que cumpre seus deveres e assume as consequências de seus atos.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
simples (personalidade)		simples	simples	/ˈsĩplɨʃ/	/ˈsĩples/	adj m/f	Que é descomplicado, direto e sem excessos.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Portugues::VOC::Tricky Vocabulary::Personality
versátil (personalidade)		versátil	versátil	/vɨɾˈsatiɫ/	/veʁˈsatʃiw/	adj m/f	Que se adapta facilmente a diferentes situações e desafios.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::Adjetivos::invariavels Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
atencioso/a (personalidade)	"<img src=""Levi_Cat.jpg"">"	atencioso, atenciosa	atencioso, atenciosa	/ɐtẽsiˈɔzu | ɐtẽsiˈɔzɐ/	/atẽsiˈɔzu | atẽsiˈɔzɐ/	adj m , adj f	Que presta atenção e cuida dos detalhes; cortês e solícito.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
companheiro/a (personalidade)		companheiro, companheira	companheiro, companheira	/kõpɐˈɲɐjɾu | kõpɐˈɲɐjɾɐ/	/kõpɐˈɲejɾu | kõpɐˈɲejɾɐ/	adj m , adj f	Que acompanha, partilha momentos e oferece apoio emocional.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
compreensivo/a (personalidade)		compreensivo, compreensiva	compreensivo, compreensiva	/kõpɾɨẽˈsivu | kõpɾɨẽˈsivɐ/	/kõpɾeẽˈsivu | kõpɾeẽˈsivɐ/	adj m , adj f	Que entende e aceita os sentimentos e dificuldades dos outros.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
criativo/a (personalidade)		criativo, criativa	criativo, criativa	/kɾiɐˈtivu | kɾiɐˈtivɐ/	/kɾiaˈtʃivu | kɾiaˈtʃivɐ/	adj m , adj f	Que tem capacidade de inovar e criar ideias originais.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
enérgico/a (personalidade)	"<img src=""Sasha Connie Gif.gif"">"	enérgico, enérgica	enérgico, enérgica	/iˈnɛɾʒiku | iˈnɛɾʒikɐ/	/iˈnɛʁʒiku | iˈnɛʁʒikɐ/	adj m , adj f	Que demonstra vigor, força e disposição para agir.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
intuitivo/a (personalidade)		intuitivo, intuitiva	intuitivo, intuitiva	/ĩtujˈtivu | ĩtujˈtivɐ/	/ĩtujˈtʃivu | ĩtujˈtʃivɐ/	adj m , adj f	Que percebe as coisas rapidamente, sem necessidade de análise lógica.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
objetivo/a (personalidade)		objetivo, objetiva	objetivo, objetiva	/obʒɨˈtivu | obʒɨˈtivɐ/	/obʒeˈtʃivu | obʒeˈtʃivɐ/	adj m , adj f	Que se concentra no essencial, sem distrações ou rodeios.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
organizado/a (personalidade)		organizado, organizada	organizado, organizada	/oɾɡɐniˈzadu | oɾɡɐniˈzadɐ/	/oʁɡɐniˈzadu | oʁɡɐniˈzadɐ/	adj m , adj f	Que planeja e mantém tudo em ordem e bem estruturado.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
proativo/a (personalidade)		proativo, proativa	proativo, proativa	/pɾuɐˈtivu | pɾuɐˈtivɐ/	/pɾoaˈtʃivu | pɾoaˈtʃivɐ/	adj m , adj f	Que age antecipadamente para resolver problemas ou criar oportunidades.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
solidário/a (personalidade)		solidário, solidária	solidário, solidária	/suliˈdaɾiu | suliˈdaɾiɐ/	/soliˈdaɾiu | soliˈdaɾiɐ/	adj m , adj f	Que se preocupa e ajuda os outros de forma altruísta.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
tranquilo/a (personalidade)		tranquilo, tranquila	tranquilo, tranquila	/tɾɐ̃ˈkilu | tɾɐ̃ˈkilɐ/	/tɾɐ̃ˈkilu | tɾɐ̃ˈkilɐ/	adj m , adj f	Que tem calma e serenidade, mesmo em situações difíceis.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
aventureiro/a  (personalidade)		aventureiro, aventureira	aventureiro, aventureira	/ɐvẽtuˈɾɐjɾu | ɐvẽtuˈɾɐjɾɐ/	/avẽtuˈɾejɾu | avẽtuˈɾejɾɐ/	adj m , adj f	Que gosta de aventuras e desafios, explorando o desconhecido.																																												Curso::2A2 Curso::2A2::Folhas::Carecterizacao_Personalidade My_Mess::Special-Voc-Card Portugues::VOC Portugues::VOC::Personalidade Vocabulary::Personality
