#separator:tab
#html:true
#tags column:52
toalha de mesa	"<img src=""_mantel.JPG"">"	toalha de mesa	a toalha de mesa	/ɐ tuˈaʎɐ dɨ ˈmɛzɐ/	/a toˈaʎɐ dʒi ˈmɛzɐ/	sf	Pano usado para cobrir e decorar mesas.		tablecloth	/ˈteɪbəlˌklɔθ/	/ˈteɪbᵊlklɒθ/	n	A cloth used to cover a table.		mantel	/manˈtel/	/manˈtel/				nappe		/nap/				Tischdecke						estovalles						tovaglia												Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Curso::2A2::vocabulario_em_clase Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Casa::Cozinha::Utensílios Portugues::VOC::Casa::Tarefas_domésticas Vocabulary::House
encenador,a (teatro)	"<img src=""_ecenador.JPG"">"	encenador, encenadora	o encenador, a encenadora	/u ẽsɨnɐˈdoɾ | ɐ ẽsɨnɐˈdɔɾɐ/	/u ẽsenaˈdoʁ | a ẽsenaˈdɔɾɐ/	sm	"É quem ensaia os atores no teatro. O equivalente a ""realizador"" no teatro. <!--Que ou aquele que põe em cena; ensaiador;-->"		theater director	/ˈθiətə˞ də˞ˈɹɛktə˞/	/ˈθɪətə daɪˈrektə/	n	A person who oversees and guides the artistic aspects of a theater production.		director, directora de teatro						metteur en scène						Theaterregisseur, Theaterregisseurin						director, directora de teatre						regista teatrale												arreglar Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho Portugues::VOC::Trabalho::Profissoes Vocabulary::Film Vocabulary::Profession Vocabulary::Theater Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
diretor,a de cinema (BR)	"<img src=""_diretora_de_cinema.JPG"">"	diretor de cinema, diretora de cinema	o diretor de cinema, a diretora de cinema	/u diɾɨˈtoɾ dɨ siˈnɛmɐ | ɐ diɾɨˈtɔɾɐ dɨ siˈnɛmɐ/	/u dʒiɾeˈtoʁ dʒi siˈnɛmɐ | a dʒiɾeˈtɔɾɐ dʒi siˈnɛmɐ/	sm	Quem dirige a produção de filmes em Brasil.		film director	/ˈfɪlm də˞ˈɹɛktə˞/	/ˈfɪlm daɪˈrektə/	n	The person responsible for the production of films.		director de cine						réalisateur, réalisatrice						Regisseur,in						director, directora						regista												Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Lugares::Brasil Portugues::Falso_Amigo Portugues::VOC Portugues::VOC::Trabalho Portugues::VOC::Trabalho::Profissoes Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
tradição, tradições	"<img src=""_costume_tradicoes_valencianas.JPG"">"	tradição, tradições	a tradição, as tradições	/ɐ tɾɐdiˈsɐ̃w̃ | ɐʃ tɾɐdiˈsõj̃ʃ/	/a tɾadʒiˈsɐ̃w̃ | aʃ tɾadʒiˈsõj̃s/	sf	Costumes e práticas transmitidos ao longo do tempo.														tradition, traditions						Tradition, Traditionen						tradició, tradicions						tradizione, tradizioni												Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto Curso::2A2::vocabulario_em_clase Lugares::Portugal Portugues::VOC Portugues::VOC::Festas::Natal Vocabulary::Christmas
igrega	"<img src=""_91_Mass_Priest_Grandfather_Church.JPG"">"	igreja	a igreja	/ɐ iˈɡɾɐʒɐ/	/a iˈɡɾeʒɐ/	sf	Edifício destinado ao culto religioso cristão.		church	/ˈtʃɜ˞tʃ/	/ˈtʃɜːtʃ/				iglesia						église						Kirche						església						chiesa												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Cidade::Locais Vocabulary::City
peça (de teatro)	"<img src=""_10_Theater_Play_Stage.JPG"">"	peça (de teatro)	a peça	/ɐ ˈpɛsɐ/	/a ˈpɛsɐ/	sf	"Obra teatral apresentada em palco. "" a ........"""		play	/ˈpleɪ/	/ˈpleɪ/	n	A dramatic work performed on a stage.		obra de teatro						pièce de théâtre						Theaterstück						obra de teatre						opera teatrale												Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::Pessoas::Tempo_livre
personagem, personagens	"<img src=""Film Cup 0.jpg""><img src=""Film Cup 00.jpg"">"	personagem, personagens	a personagem, as personagens	/ɐ pɨɾsuˈnaʒɐ̃j̃ | ɐʃ pɨɾsuˈnaʒẽʃ/	/a peʁsoˈnaʒẽj̃ | aʃ peʁsoˈnaʒẽs/	sf, sfp	Figura fictícia em uma história ou peça teatral.		character, characters	/ˈkʰɛrɪktə˞ | ˈkʰɛrɪktə˞z/	/ˈkʰærɪktə | ˈkʰærɪktəz/	n	A person, animal, or being in a story, play, or film.		personaje, personajes						personnage, personnages						Charakter, Charaktere						personatge, personatges						personaggio, personaggi												arreglar Curso::1C1 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Vocabulary::Film Vocabulary::Theater
importância		importância	a importância	/ɐ ĩpuɾˈtɐ̃siɐ/	/a ĩpoʁˈtɐ̃siɐ/	sf	"Valor ou relevância de algo. Com ""I"""		importance	/ɪmˈpʰɔrtn̩s/	/ɪmˈpʰɔːtᵊns/				importancia						importance						Bedeutung						importància						importanza												Curso::2A2::U2-Olha-Esta-Noticia::Noticias Curso::2A2::U2-Olha-Esta-Noticia::Vocabulario Curso::2A2::U4-Nao-Tinhamos-Redes-Sociais Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Portugues::Ortografia Portugues::VOC
apaixonar-se	"<img src=""_apaixonar-se__.JPG"">"	apaixonar-se	apaixonar-se	/ɐpɐjʃuˈnaɾsɨ/	/apajʃoˈnaʁsi/	v	Começar a sentir um amor intenso ou forte atração emocional por alguém, geralmente no início de um relacionamento.		fall in love	/ˈfɔl ˈɪn ˈləv/	/ˈfɔːl ɪn ˈlʌv/	exp	To develop romantic feelings for someone.		enamorarse						tomber amoureux						sich verlieben						enamorar-se						innamorarsi												Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase Portugues::VOC Portugues::VOC::Pessoas::Amor Portugues::VOC::Pessoas::Relações_entre_as_pessoas Vocabulary::Love
documentário	"<img src=""_wildlife_documentary.PNG"">"	documentário	o documentário	/u dukumẽˈtaɾiu/	/u dokumẽˈtaɾiu/	sm	produção audiovisual informativa		documentary	/ˌdɑkjəˈmɛntɹi/	/ˌdɒkjʊˈmentᵊri/	n	A non-fiction film that presents factual information about a subject.		documental						documentaire						Dokumentarfilm						documentari						documentario												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Curso::2A2::vocabulario_em_clase My_Mess::Multi Portugues::VOC Portugues::VOC::Filme Vocabulary::Film Vocabulary::Film_Genres
região, regiões		região, regiões	a região, as regiões	/ɐ ʁɨʒiˈɐ̃w̃ | ɐʒ ʁɨʒiˈõj̃ʃ/	/a ʁeʒiˈɐ̃w̃ | aʒ ʁeʒiˈõj̃s/	sf, sfp	Área geográfica delimitada		region	/ˈɹidʒən/	/ˈriːdʒᵊn/	n	A defined geographical area.		región						région						Region						regió						regione												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Festival-Flores-Madeira Portugues::Ortografia Portugues::VOC Portugues::VOC::Verbos Vocabulary::My_Choice
produtor,a (cinema)		produtor, produtora	o produtor, a produtora	/u pɾuduˈtoɾ | ɐ pɾuduˈtɔɾɐ/	/u pɾoduˈtoʁ | a pɾoduˈtɔɾɐ/	sm	Responsável pelos custos de um filme.		producer	/pɹəˈdusə˞/	/prəˈdjuːsə/	n	A person responsible for overseeing and financing a film, play, or show.		productor, productora (de cine)						producteur, productrice						Produzent, Produzentin						productor, productora (de cinema)						produttore, produttrice												change Curso::2A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::00-DONE::Cancao::Supertrabalhador Portugues::VOC::Profissoes::Supertrabalhador Portugues::VOC::Trabalho Portugues::VOC::Trabalho::Profissoes Vocabulary::Work_n_Career::Profession
bailarino,a	"<img src=""_danço.JPG"">"	bailarino, bailarina	o bailarino, a bailarina	/u bɐjlɐˈɾinu | ɐ bɐjlɐˈɾinɐ/	/u bajlaˈɾinu | a bajlaˈɾinɐ/	sm, sf	pessoa que dança como profissão.		dancer	/ˈdænsə˞/	/ˈdɑːnsə/	n	A person who performs dances as an art form or profession.		bailarín, bailarina						danseur, danseuse						Tänzer, Tänzerin						ballarí, ballarina						ballerino, ballerina												arreglar Curso::1A2 Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::Trabalho::Profissoes Vocabulary::Dance Vocabulary::Theater Vocabulary::Work_n_Career Vocabulary::Work_n_Career::Profession
comédia negra	"<img src=""_rei_zarolho_comedia_negra.JPG"">"	comédia negra	a comédia negra	/ɐ kuˈmɛdiɐ ˈnɛɡɾɐ/	/a koˈmɛdʒiɐ ˈnɛɡɾɐ/	sf	Gênero teatral ou cinematográfico que trata temas sérios com humor ácido.		black comedy	/ˈblæk ˈkʰɑmədi/	/ˈblæk ˈkʰɒmədi/	n	A type of comedy that uses dark, morbid, or satirical humor.		comedia negra						comédie noire						Schwarze Komödie						comèdia negra						commedia nera												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Vocabulary::Chamba Vocabulary::Film Vocabulary::Film_Genres
coreógrafo,a	"<img src=""_coreografo_Maurice_Bejart.JPG"">"	coreógrafo, coreógrafa	o coreógrafo, a coreógrafa	/u kuɾɨˈɔɡɾɐfu | ɐ kuɾɨˈɔɡɾɐfɐ/	/u koɾeˈɔɡɾafu | a koɾeˈɔɡɾafɐ/	s m/f	Pessoa que cria e dirige coreografias de dança.		choreographer	/ˌkɔriˈɑɡɹəfə˞/	/ˈkʰɒriəɡrɑːfə/	n	A person who creates and arranges dance movements.		coreógrafo, coreógrafa						chorégraphe						Choreograf, Choreografin						coreògraf, coreògrafa						coreografo, coreografa												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Mesma_palavra_em_Espanhol Portugues::VOC Portugues::VOC::Trabalho::Profissoes Vocabulary::Dance Vocabulary::Film Vocabulary::Profession Vocabulary::Theater
escultor, escultora	"<img src=""_escultora_.JPG"">"	escultor, escultora	o escultor, a escultora	/u ʃkuɫˈtoɾ | ɐ ʃkuɫˈtɔɾɐ/	/u iskuwˈtoʁ | a iskuwˈtɔɾɐ/	s m/f	Artista que esculpe materiais como pedra, madeira ou metal.		sculptor	/ˈskəlptə˞/	/ˈskʌlptə/	n	An artist who creates three-dimensional works of art by carving or molding materials.		escultor, escultora						sculpteur, sculptrice						Bildhauer, Bildhauerin						escultor, escultora						scultore, scultrice												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Portugues::VOC::Trabalho::Profissoes Vocabulary::Artists Vocabulary::Profession
bailado (ballet)	"<img src=""_bailado.JPG"">"	bailado	o bailado	/u bɐjˈladu/	/u bajˈladu/	sm	Peça artística de dança acompanhada de música, geralmente&nbsp;ballet.		ballet	/bæˈleɪ/	/ˈbæleɪ/	n	A highly stylized and formalized type of dance.		ballet						ballet						Ballett						ballet						balletto												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC Vocabulary::Dance Vocabulary::Theater
ranchos folklóricos	"<img src=""_rancho_Folklorico.JPG"">"	ranchos folklóricos	os ranchos folklóricos	/uʒ ˈʁɐ̃ʃuʃ fɔɫˈlɔɾikuʃ/	/uʒ ˈʁɐ̃ʃus fɔwˈlɔɾikus/	smp	Grupos que preservam e apresentam danças e músicas tradicionais.		folkloric groups	/ˈfoʊkˌlɔrɪk ˈɡɹups/	"/#folkloric# ˈɡruːps/"	n	Cultural ensembles that perform traditional music and dances.		grupos folclóricos						groupes folkloriques						volkstümliche Gruppen						grups folklòrics						gruppi folcloristici												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Falso_Amigo Portugues::VOC Vocabulary::Dance
conceção, conceções		conceção, conceções	a conceção, as conceções	/ɐ kõsɨˈsɐ̃w̃ | ɐʃ kõsɨˈsõj̃ʃ/	/a kõseˈsɐ̃w̃ | aʃ kõseˈsõj̃s/	sf, sfp	Ideia ou criação de algo; ato de conceber.		conception, conceptions	/kənˈsɛpʃən | kənˈsɛpʃənz/	/kənˈsepʃᵊn | kənˈsepʃᵊnz/	n	The formation of an idea, plan, or artistic vision.		concepción, concepciones						conception, conceptions						Konzeption, Konzeptionen						concepció, concepcions						concezione, concezioni												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Ortografia Portugues::VOC Portugues::VOC::Abstratos Portugues::VOC::Tricky Vocabulary::Artists Vocabulary::Crazy_Difficult
atravessar	"<img src=""_atravessar_passadeira.JPG"">"	atravessar	atravessar	/ɐtɾɐvɨˈsaɾ/	/atɾaveˈsaʁ/	v	"Passar de um lado para o outro; superar um obstáculo. Com <b>""A""</b>"		to cross	/tə ˈkɹɔs/	/tə ˈkrɒs/	v	"To move from one side to another; to overcome an obstacle. With an ""A""."		atravesar						traverser						überqueren						travessar						attraversare												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::VOC::Verbos Vocabulary::City
esgotar	"<img src=""_entradas_esgotadas.JPG"">"	esgotar	esgotar	/ʒɡuˈtaɾ/	/iʒɡoˈtaʁ/	v	Consumir completamente; acabar um recurso ou ingressos.		to exhaust	/tu ɪɡˈzɔst/	/tu ɪɡˈzɔːst/	v	To completely use up; to run out of a resource or tickets.		agotar						épuiser						erschöpfen						esgotar						esaurire												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::VOC::Verbos
ensaiar	"<img src=""_ensaio_ensaiar.JPG"">"	ensaiar	ensaiar	/ẽsɐjˈaɾ/	/ẽsajˈaʁ/	v	Praticar uma apresentação antes da exibição oficial.		rehearse	/ɹɪˈhɜ˞s/	/rɪˈhɜːs/	v	To practice a performance before presenting it to an audience.		ensayar						répéter						proben						assajar						provare												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Vocabulary::Dance Vocabulary::Film Vocabulary::Theater
manifestação, ões (na rua)	"<img src=""_manifestacao.JPG"">"	manifestação, manifestações	a manifestação, as manifestações	/ɐ mɐnifɨʃtɐˈsɐ̃w̃ | ɐʒ mɐnifɨʃtɐˈsõj̃ʃ/	/a mɐnifestaˈsɐ̃w̃ | aʒ mɐnifestaˈsõj̃s/	sf, sfp	Protesto ou evento onde um grupo expressa ideias publicamente.		protest, demonstrations	/pɹəˈtʰɛst | ˌdɛmənˈstɹeɪʃənz/	/ˈprəʊtest | ˌdemənˈstreɪʃᵊnz/	n	Public gatherings where people express their opinions or grievances.		manifestación, manifestaciones						manifestation, manifestations						Demonstration, Demonstrationen						manifestació, manifestacions						manifestazione, manifestazioni												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Vocabulary::City
ato		ato, atos	o ato, os atos	/u ˈatu/, /uz ˈatuʃ/	/u ˈatu/, /uz ˈatus/	sm, smp	Cada uma das partes em que se divide uma peça teatral.		act	/ˈækt/	/ˈækt/	v	To perform a role in a play, film, or show.		acto						acte						Akt						acte						atto												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC Vocabulary::Theater
dramaturgo, a	"<img src=""_vai_chatear_o_Camoes_.JPG"">"	dramaturgo, dramaturga	o dramaturgo, a dramaturga	/u dɾɐmɐˈtuɾɡu/, /ɐ dɾɐmɐˈtuɾɡɐ/	/u dɾɐmaˈtuʁɡu/, /a dɾɐmaˈtuʁɡɐ/	sm, sf	Escritor(a) de peças teatrais.		playwright	/ˈpleɪˌɹaɪt/	/ˈpleɪraɪt/	n	A person who writes plays.		dramaturgo						dramaturge						Dramaturg, Dramaturgin						dramaturg, dramaturga						drammaturgo												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::Mesma_palavra_em_Espanhol Portugues::VOC Vocabulary::Theater Vocabulary::Writing
zarolho, zarolha	"<img src=""Commander Hange and Levi.jpg""><img src=""_vai_chatear_o_Camoes_.JPG"">"	zarolho, zarolha	o zarolho, a zarolha	/u zɐˈɾɔʎu | ɐ zɐˈɾɔʎɐ/	/u zaˈɾɔʎu | a zaˈɾɔʎɐ/	adj m/f	Pessoa que tem um olho cego ou que vê mal de um olho.		one-eyed	/ˈwənˈaɪd/	/ˈwʌnˌaɪd/	adj	Having only one functional eye.		tuerto, tuerta						borgne						Einäugiger, Einäugige						borni, bornia						orbo, orba												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes My_Mess::Multi Portugues::VOC
visão, visões (do mundo)		visão, visões	a visão, as visões (do mundo)	/ɐ viˈzɐ̃w̃ du ˈmũdu | ɐʒ viˈzõj̃ʒ du ˈmũdu/	/a viˈzɐ̃w̃ du ˈmũdu | aʒ viˈzõj̃s du ˈmũdu/	sf, sfp	"Forma como uma pessoa ou sociedade interpreta a realidade. Com <b>""V""</b>"		worldview	/ˈwɜ˞ldˌvju/	"/#worldview#/"	n	"The way a person or society interprets reality. With a capital ""V""."		visión del mundo						vision du monde						Weltanschauung						visió del món						visione del mondo												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::VOC Portugues::VOC::Abstratos Vocabulary::Crazy_Difficult
esgotado (entradas)	"<img src=""_entradas_esgotadas.JPG"">"	esgotado(s), esgotada(s)	esgotados, esgotadas	/ʒɡuˈtaduʃ | ʒɡuˈtadɐʃ/	/iʒɡoˈtadus | iʒɡoˈtadas/	adj mp, adj fp	Que se esgotou; que está exausto ou sem estoque.		sold out	/ˈsoʊld ˈaʊt/	/ˈsəʊld ˈaʊt/	adj	No longer available; out of stock.		agotado						épuisé						ausverkauft						esgotat,da						esaurito, a												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::VOC Vocabulary::Theater
oposto, a (adj)	"<img src=""_opostos.JPG"">"	oposto, oposta	oposto, oposta	/oˈpɔʃtu | oˈpɔʃtɐ/	/oˈpɔstu | oˈpɔstɐ/	adj m, adj f	"Que é contrário ou muito diferente de algo. Com <b>""O""</b>"		opposite	/ˈɑpəzət/	/ˈɒpəzɪt/	adj	"Being contrary or very different from something. With an ""O""."		opuesto, a						opposé,e						entgegengesetzt						oposat,ada						opposto, a												Curso::2A2::U5-Eu-Ja-Tinha-Visto::Falar-Obras-Filmes Portugues::Adjetivos Portugues::VOC
